"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",2008-11-11,5266.93342457399,58023,11,316,2008.86213570128,1907,2009,1,8.56920357929984,NA,NA,-4.77628340585831,0.250570152268568,0.00870690005981517,3962.18847883384,0.0087594866637621,4135.62061410909
"2",2008-11-12,5153.66603909928,58024,11,317,2008.86486794171,1907,2009,2,8.54746359266343,NA,NA,-4.77367894389948,0.251090733927741,0.0087318285518852,3888.08020227642,0.00876743313345187,4065.42829594212
"3",2008-11-13,4728.91334356912,58025,11,318,2008.86760018215,1907,2009,3,8.46145071800339,NA,NA,-4.77210598873866,0.251648531025394,0.00875978620684605,3579.05691766371,0.00878927021461354,3926.0933164591
"4",2008-11-14,4927.13126814986,58026,11,319,2008.87033242259,1907,2009,4,8.50251220480116,NA,NA,-4.7618006406152,0.252136894657571,0.00883752967348381,3762.17298323346,0.0088368989567779,3986.08235730195
"5",2008-11-15,5776.63665921018,58027,11,320,2008.87306466302,1907,2009,5,8.66157689943085,NA,NA,-4.76100690867708,0.252543257606823,0.00883461951914961,4409.37103546024,0.00887223029757085,4076.93381361449
"6",2008-11-16,5210.29973183663,58028,11,321,2008.87579690346,1907,2009,6,8.55839266319562,NA,NA,-4.75158821900365,0.253259143350746,0.00891992142895821,4015.48010941193,0.00889098719402606,4168.13716830571
"7",2008-11-17,5295.25027094267,58029,11,322,2008.8785291439,1907,2009,7,8.57456552244122,5194.11867676882,NA,-4.75059426802425,0.254201814145322,0.00893190051121047,4086.43043921454,0.00894005042648608,4090.42229980783
"8",2008-11-18,5351.88396368002,58030,11,323,2008.88126138434,1907,2009,8,8.58520392064628,5206.25446806968,NA,-4.74976092101883,0.255146930002239,0.00894206605218733,4134.83615195347,0.00897260249299469,4087.97730183313
"9",2008-11-19,4870.49757541251,58031,11,324,2008.88399362477,1907,2009,9,8.49095138240009,5165.80183040014,NA,-4.72994553724585,0.256142753417096,0.00913117125167493,3842.49721898527,0.00902081724501777,4064.0002573603
"10",2008-11-20,5408.51765641737,58032,11,325,2008.88672586521,1907,2009,10,8.59573033363326,5262.88816080703,NA,-4.7477623473956,0.257041872097621,0.00896500999930016,4189.31264486937,0.00896678926008804,4214.30418365226
"11",2008-11-21,5408.51765641737,58033,11,326,2008.88945810565,1907,2009,11,8.59573033363326,5331.65764484525,NA,-4.74594970739376,0.257991609826545,0.00898396371672336,4198.16963979458,0.00904344681478947,4153.83037214441
"12",2008-11-22,5181.98288546796,58034,11,327,2008.89219034608,1907,2009,12,8.55294305842806,5246.70710573922,NA,-4.7321496603396,0.258959448821858,0.00911496421837733,4080.98205342295,0.0090573775422452,4182.04050311391
"13",2008-11-23,4870.49757541251,58035,11,328,2008.89492258652,1907,2009,13,8.49095138240009,5198.16394053577,NA,-4.70953141650778,0.259940878719994,0.00933638922748004,3928.85519865543,0.00909113378982605,4167.70580052451
"14",2008-11-24,5040.39865362457,58036,11,329,2008.89765482696,1907,2009,14,8.52524045587872,5161.75656663319,NA,-4.71630763989107,0.260871443527364,0.00926945355537611,4036.75844143852,0.00912079669692957,4164.65396127186
"15",2008-11-25,5323.56711731134,58037,11,330,2008.9003870674,1907,2009,15,8.57989886841658,5157.71130286623,NA,-4.73277211098139,0.261797167891766,0.00911545113675067,4192.70825644394,0.00928379558537357,4098.169104401
"16",2008-11-26,5266.93342457399,58038,11,331,2008.90311930783,1907,2009,16,8.56920357929984,5214.34499560359,NA,-4.72612221260366,0.262751318737205,0.00917995494854731,4177.45827831634,0.00922845844607709,4161.32903874136
"17",2008-11-27,5097.03234636192,58039,11,332,2008.90585154827,1907,2009,17,8.53641375647685,5169.84709416709,NA,-4.70914084235153,0.263714565766442,0.00934178345923275,4113.96818092573,0.00911316193173358,4256.245081702
"18",2008-11-28,5012.08180725589,58040,11,333,2008.90858378871,1907,2009,18,8.51960663816046,5113.21340142974,NA,-4.69754183344706,0.264672922190748,0.00945710570015207,4095.34163386803,0.0092829687018172,4184.59476754328
"19",2008-11-29,5097.03234636192,58041,11,334,2008.91131602914,1907,2009,19,8.53641375647685,5101.07761012888,NA,-4.70178967401621,0.265613815438831,0.00941519708151472,4146.29833580809,0.00925786985353408,4233.77528758853
