ActivityStartDate,USGSPCode,ResultMeasureValue
2002-04-22,0,0.03
2002-06-10,0,0.044000000000000004
2002-08-12,0,0.02
2002-11-18,0,0.053
2003-03-17,0,0.196
2003-06-04,0,0.037000000000000005
2003-09-24,0,0.127
2003-10-22,0,0.037000000000000005
2003-12-16,0,0.024
2004-02-24,0,0.051
2004-04-14,0,0.22
2004-06-16,0,0.091
2004-08-18,0,0.02
2004-11-16,0,0.019
2005-01-11,0,0.055
2005-03-16,0,0.024
2005-05-17,0,0.033
2005-07-19,0,0.066
2005-09-20,0,0.027999999999999997
2005-10-26,0,0.134
2005-12-06,0,0.027000000000000003
2006-02-08,0,0.031
2006-03-27,0,0.013000000000000001
2006-04-18,0,0.027999999999999997
2006-06-21,0,0.032
2006-08-22,0,0.031
2006-09-11,0,0.015
2006-11-21,0,0.032
2007-01-23,0,0.022000000000000002
2007-03-27,0,0.03
2007-05-23,0,0.017
2007-07-17,0,0.021
2007-09-26,0,0.02
2007-10-24,0,0.19399999999999998
2007-12-27,0,0.027000000000000003
2008-04-29,0,0.027000000000000003
2008-06-19,0,0.046
2008-08-28,0,0.019
2008-11-19,0,0.048
2009-03-25,0,0.027000000000000003
2009-05-21,0,0.024
2009-07-22,0,0.025
2009-09-15,0,0.024
2009-10-07,0,0.054000000000000006
2009-12-23,0,0.023
2010-04-28,0,0.066
2010-06-23,0,0.02
2010-08-19,0,0.026000000000000002
2010-11-23,0,0.081
2011-03-31,0,0.028999999999999998
2011-05-12,0,0.03
2011-07-12,0,0.031
2011-09-14,0,0.033
2011-10-20,0,0.049
2011-12-19,0,0.032
2012-02-28,0,0.027999999999999997
2012-04-02,0,0.033
2012-06-13,0,0.028999999999999998
2012-08-15,0,0.034
2012-11-01,0,0.081
2013-01-10,0,0.037000000000000005
2013-03-07,0,0.027000000000000003
2013-05-08,0,0.028999999999999998
2013-07-24,0,0.254
2013-09-17,0,0.024
2013-10-21,0,0.08
2013-12-04,0,0.04
2014-04-09,0,0.09
2014-06-10,0,0.09
2014-08-06,0,0.1
2014-11-06,0,0.03
2014-12-18,0,0.037000000000000005
2015-01-21,0,0.04
2015-03-18,0,0.111
2015-05-12,0,
2015-05-14,0,0.04
2015-06-04,0,0.028999999999999998
2015-06-15,0,0.16899999999999998
2015-06-23,0,0.013000000000000001
2015-06-30,0,0.052000000000000005
2015-07-08,0,
2015-07-22,0,
2015-07-23,0,0.508
2015-07-29,0,
2015-08-06,0,
2015-08-18,0,0.008
2015-08-26,0,0.01
2015-09-08,0,0.008
2015-09-10,0,0.02
2015-09-15,0,
2015-10-28,0,0.04
2015-12-07,0,
2015-12-15,0,0.03
2016-02-23,0,0.05
2016-03-08,0,0.019
2016-06-07,0,0.02
2016-08-16,0,0.06
2016-11-02,0,0.06
2017-01-10,0,0.04
2017-03-21,0,0.07
2017-05-10,0,0.04
2017-07-25,0,0.03
2017-09-12,0,0.02
2017-10-18,0,0.03
2017-12-06,0,0.03
2018-02-21,0,0.1
