"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1981-11-04,9.40182227075719,48154,11,309,1981.84257990868,1583,1982,1,2.240903529079,NA,NA,-0.700762500936614,0.392503391220405,0.536010134387767,435.410382427643,0.564380721282579,1108.0673280783
"2",1981-11-05,10.0247928908681,48155,11,310,1981.8453196347,1583,1982,2,2.3050613137142,NA,NA,-0.704571385300599,0.394705581934314,0.53442062884885,462.884208838607,0.56865952193063,1418.05941810637
"3",1981-11-06,23.2770769914091,48156,11,311,1981.84805936073,1583,1982,3,3.1474690561918,NA,NA,-0.679651229839689,0.424009851333964,0.555103681464155,1116.39091377506,0.570369883898036,1438.05786617086
"4",1981-11-07,20.7851945109655,48157,11,312,1981.85079908676,1583,1982,4,3.03424093089827,NA,NA,-0.693485323834668,0.419947107511036,0.54615572172689,980.808731369582,0.555672127529681,998.522067311764
"5",1981-11-08,17.1040044830374,48158,11,313,1981.85353881279,1583,1982,5,2.83931261638728,NA,NA,-0.699806409915142,0.413708646211441,0.541300572680049,799.926401242682,0.547813079566098,830.998662594596
"6",1981-11-09,15.036874698124,48159,11,314,1981.85627853881,1583,1982,6,2.71050549760156,NA,NA,-0.704243671916955,0.409696819460885,0.537980748446485,698.937042619534,0.546438665479836,837.744758437682
"7",1981-11-10,13.281230223266,48160,11,315,1981.85901826484,1583,1982,7,2.58635177705184,15.558713724061,NA,-0.708081206383012,0.405833065282256,0.535028214735804,613.943962201372,0.552273158332881,1003.09143395728
"8",1981-11-18,9.31687173165116,48168,11,323,1981.88093607306,1583,1982,8,2.23182692124367,15.5465779327602,NA,-0.717199533581708,0.396932453459478,0.528184153928625,425.176474709695,0.567447204864569,1624.93163274106
"9",1981-11-21,47.7428322539463,48171,11,326,1981.88915525114,1583,1982,9,3.86582894579413,20.9348692703428,NA,-0.644976974915617,0.457056446270231,0.583958518874566,2408.81762389461,0.547076436129708,1238.19520159003
"10",1981-11-22,34.2923302288246,48172,11,327,1981.89189497717,1583,1982,10,3.53492172067871,22.5084768756879,NA,-0.692052808515875,0.445211086863818,0.553658305816127,1640.41057068291,0.556122448416822,1548.78195993014
"11",1981-11-23,29.7616348098362,48173,11,328,1981.8946347032,1583,1982,11,3.39322014158234,23.7908254898122,NA,-0.709611612903044,0.439853334560074,0.5427423863844,1395.61062042743,0.556658651084147,1577.23120504573
"12",1981-11-24,27.0432175584432,48174,11,329,1981.89737442922,1583,1982,12,3.29743623664169,25.2107130720131,NA,-0.722386575049898,0.436365057075665,0.534947000510069,1249.92185331143,0.539455215475508,1130.4495197424
"13",1981-11-25,26.7600490947564,48175,11,330,1981.90011415525,1583,1982,13,3.2869100698905,26.885452271532,NA,-0.726991078163358,0.436271246873253,0.532459090920377,1231.08175416776,0.5461561142759,1342.0789789769
"14",1981-11-26,24.862820388055,48176,11,331,1981.90285388128,1583,1982,14,3.21337353049445,28.5399651522161,NA,-0.7372514380956,0.433709937978691,0.526310126272306,1130.59187751654,0.555912538307334,1729.57936950514
"15",1981-11-27,39.6725310388733,48177,11,332,1981.90559360731,1583,1982,15,3.6806590348321,32.8764879103907,NA,-0.699328459513614,0.452288418394977,0.551337341022337,1889.82268772531,0.550270618427422,1600.54501292177
"16",1981-11-28,26.3636132455949,48178,11,333,1981.90833333333,1583,1982,16,3.27198477329054,29.8223137663405,NA,-0.739142653200367,0.436659960637804,0.526077178689547,1198.30711187275,0.554342379277201,1791.67772205174
"17",1981-11-29,22.5974726785608,48179,11,334,1981.91107305936,1583,1982,17,3.11783807164272,28.1516198305886,NA,-0.755874919429647,0.431024201994993,0.515766531921233,1006.99373781557,0.557706372429724,1980.08939655222
"18",1981-11-30,19.8790554271678,48180,11,335,1981.91381278539,1583,1982,18,2.98966668637566,26.7398227759216,NA,-0.761023124879119,0.42684255299875,0.512044031619933,879.461425646477,0.546845486453458,1619.63546746226
"19",1981-12-02,35.1418356198849,48182,12,337,1981.91929223744,1584,1982,19,3.55939231872772,27.8967682132705,NA,-0.730476581887499,0.448919944326097,0.533567043330765,1620.04538841849,0.542176995027622,1562.70485111379
"20",1981-12-03,26.2220290137515,48183,12,338,1981.92203196347,1584,1982,20,3.2665998595426,27.8199082016983,NA,-0.757528659506478,0.438083687975555,0.51665316051585,1170.52077586404,0.550968188475982,1869.32128809057
"21",1981-12-04,24.3248003070502,48184,12,339,1981.9247716895,1584,1982,21,3.19149641866736,27.7430481901262,NA,-0.766877398291868,0.435574358446031,0.511132325249324,1074.22776652332,0.541340895393674,1626.40586066979
"22",1981-12-05,33.1596563740775,48185,12,340,1981.92751141553,1584,1982,22,3.50133396754988,26.8126375237268,NA,-0.747074905273406,0.447557615836458,0.524285949362009,1502.07626211275,0.534045702214399,1507.64027125136
"23",1981-12-06,26.5051974774383,48186,12,341,1981.93025114155,1584,1982,23,3.27734084498505,26.8328638425616,NA,-0.767491289886511,0.43946512478902,0.511684007199937,1171.78148075454,0.543922924950368,2017.50485093581
"24",1981-12-07,22.937274834985,48187,12,342,1981.93299086758,1584,1982,24,3.13276330930819,26.881407007765,NA,-0.781455876225765,0.43440968713883,0.503233880024718,997.299113391602,0.519630858312665,1157.02646181026
"25",1981-12-08,46.1854057036691,48188,12,343,1981.93573059361,1584,1982,25,3.83266385432274,30.6394570472652,NA,-0.730701664351769,0.460082095160452,0.535800267801795,2138.06759713002,0.520729476161534,1185.33295060129
"26",1981-12-09,34.8586671561981,48189,12,344,1981.93847031963,1584,1982,26,3.55130180517269,30.5990044095957,NA,-0.759679388905977,0.450483493867617,0.518086030665454,1560.36572650739,0.526026289810354,1368.03290921435
