"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1996-03-26,69.3762736032595,4.23954493014327,0.06,0.06,1,0.06,53410,3,86,1996.23372040073,1755,1996,0.994773168881455,0.102109463192928,-2.24354182304464,0.405726726362117,0.115182812971969
"2",1996-04-11,9.65604461171898,2.26758410388801,0.03,0.03,1,0.03,53426,4,102,1996.27743624772,1756,1996,0.985178116307952,-0.17153448384484,-3.24658027140314,0.23819849056464,0.0400266013982581
"3",1996-04-24,265.328850474507,5.58097000183697,0.13,0.13,1,0.13,53439,4,115,1996.31295537341,1756,1996,0.922780820253759,-0.385325262306794,-1.30613071314507,0.521485593032571,0.310318186053207
"4",1996-05-09,20.9544663128212,3.04235181280271,0.05,0.05,1,0.05,53454,5,130,1996.35393897996,1757,1996,0.794223420881893,-0.607625836944632,-2.83369078240758,0.22230715614702,0.0602663998740571
"5",1996-06-06,6.59782520390182,1.8867400801702,0.06,0.06,1,0.06,53482,6,158,1996.4304417122,1758,1996,0.423266434508409,-0.906005256838248,-3.0803217025978,0.176165777195859,0.0466629630189394
"6",1996-06-26,23.6728835642143,3.1643302396892,0.1,0.1,1,0.1,53502,6,178,1996.48508652095,1758,1996,0.0935670849328559,-0.995612977324607,-2.56433398129645,0.234422934209181,0.0791146727459381
"7",1996-07-25,3.85109110614012,1.34835651234055,0.07,0.07,1,0.07,53531,7,207,1996.56432149362,1759,1996,-0.39323173911902,-0.919439394060006,-2.84099954954778,0.221880667244775,0.0598218659034963
"8",1996-08-29,1.21762439385313,0.19690174229806,0.08,0.08,1,0.08,53566,8,242,1996.65994990893,1760,1996,-0.844159242112857,-0.536092505035695,-3.19248953697162,0.147912031867422,0.0415212243489522
"9",1996-09-12,9.71267830445633,2.27343207377044,0.07,0.07,1,0.07,53580,9,256,1996.69820127505,1761,1996,-0.947503428347484,-0.319745607115664,-2.7852071508998,0.272145757178428,0.0640446044192316
"10",1996-10-24,62.580230474777,4.1364494211163,0.09,0.09,1,0.09,53622,10,298,1996.81295537341,1762,1997,-0.922780820253632,0.385325262307099,-3.03993022274497,0.362367440613296,0.0510844495724143
"11",1996-11-21,77.5881590501759,4.35141482598661,0.04,0.04,1,0.04,53650,11,326,1996.88945810565,1763,1997,-0.640043750846704,0.768338465132445,-2.3481319658089,0.39534340590286,0.103313857730167
"12",1996-12-05,52.6693342457399,3.96403339331174,0.08,0.08,1,0.08,53664,12,340,1996.92770947177,1764,1997,-0.438756850226773,0.898605823695285,-2.82533532342093,0.387698187905861,0.0639163308771665
"13",1997-01-16,16.9901078212064,2.83263128182064,0.07,0.07,1,0.07,53706,1,16,1997.04257990868,1765,1997,0.26435730265514,0.96442481123875,-3.29036503649127,0.255711298992576,0.038477912551623
"14",1997-02-06,137.619873351772,4.92449534349904,0.11,0.11,1,0.11,53727,2,37,1997.10011415525,1766,1997,0.588365375440617,0.808595192282654,-1.7468848213577,0.540136876944379,0.201692524245409
"15",1997-02-27,235.312993323709,5.46091651445399,0.74,0.74,1,0.74,53748,2,58,1997.15764840183,1766,1997,0.836318926689094,0.548243242422196,-2.13726552597234,0.227519986348742,0.121070427908653
"16",1997-03-13,52.3861657820531,3.95864254467687,0.07,0.07,1,0.07,53762,3,73,1997.19600456621,1767,1997,0.943000084211793,0.33279248966368,-2.49198237428495,0.352216716657865,0.0880408765117232
"17",1997-03-27,43.0416064803896,3.76216724044482,0.11,0.11,1,0.11,53776,3,87,1997.23436073059,1767,1997,0.99517593471766,0.0981063655367614,-2.70528911199914,0.269447691649509,0.0693223383003081
"18",1997-04-10,7.56059798043685,2.02295028500475,0.03,0.03,1,0.03,53790,4,101,1997.27271689498,1768,1997,0.989830719462544,-0.14225029633805,-3.37504242544613,0.245374391322946,0.0352623967926829
"19",1997-04-24,19.9350598435489,2.99247998276254,0.05,0.05,1,0.05,53804,4,115,1997.31107305936,1768,1997,0.927273391332858,-0.374384905846992,-2.90966467451834,0.247704696424556,0.0561917198704593
"20",1997-05-05,32.8475417876657,3.49187691070491,0.06,0.06,1,0.06,53815,5,126,1997.34121004566,1769,1997,0.840229702225558,-0.542230622058503,-2.63279399550283,0.232713596724276,0.0738502277206733
"21",1997-05-22,45.3069541898838,3.81346053483237,0.09,0.09,1,0.09,53832,5,143,1997.38778538813,1769,1997,0.648083485662868,-0.761569297970361,-2.4812726541785,0.277547611638039,0.0869209394171752
