ActivityStartDate,USGSPCode,ResultMeasureValue
1996-03-26,0,0.06
1996-04-11,0,0.03
1996-04-24,0,0.13
1996-05-09,0,0.05
1996-06-06,0,0.06
1996-06-26,0,0.1
1996-07-25,0,0.07
1996-08-29,0,0.08
1996-09-12,0,0.07
1996-10-24,0,0.09
1996-11-21,0,0.04
1996-12-05,0,0.08
1997-01-16,0,0.07
1997-02-06,0,0.11
1997-02-27,0,0.74
1997-03-13,0,0.07
1997-03-27,0,0.11
1997-04-10,0,0.03
1997-04-24,0,0.05
1997-05-05,0,0.06
1997-05-22,0,0.09
1997-06-05,0,0.11
1997-07-02,0,0.04
1997-07-10,0,0.04
1997-07-31,0,0.04
1997-08-14,0,0.04
1997-09-08,0,0.03
1997-09-25,0,0.04
1997-10-20,0,0.04
1997-11-24,0,0.03
1997-12-18,0,0.05
1998-01-12,0,0.09
1998-02-23,0,0.06
2007-04-17,0,0.17750000000000002
2007-05-21,0,0.049
2007-06-06,0,0.056999999999999995
2007-06-21,0,0.059000000000000004
2007-07-16,0,0.057999999999999996
2007-07-30,0,0.043
2007-08-15,0,0.06866666666666667
2007-08-28,0,0.063
2012-07-11,0,0.026333333333333337
2012-09-17,0,0.056
2012-10-10,0,0.4178333333333333
2017-04-04,0,0.158
2017-05-04,0,0.14400000000000002
2017-05-31,0,0.165
2017-07-06,0,0.052000000000000005
2017-08-03,0,0.054000000000000006
2017-09-05,0,0.08
2017-10-04,0,0.098
2017-11-02,0,0.275
2017-12-04,0,0.056499999999999995
2018-01-02,0,0.054000000000000006
2018-01-11,0,0.19
2018-01-12,0,0.3095
2018-01-16,0,0.107
2018-02-06,0,0.054000000000000006
2018-03-09,0,0.07100000000000001
2018-03-27,0,0.38
2018-03-28,0,0.18
2018-03-29,0,0.313
2018-03-30,0,0.196
2018-04-02,0,0.106
2018-05-08,0,0.040999999999999995
2018-05-13,0,0.241
2018-05-14,0,0.161
2018-05-15,0,0.128
2018-06-03,0,0.562
2018-06-04,0,0.5589999999999999
2018-06-05,0,0.19399999999999998
2018-07-06,0,0.5055000000000001
2018-07-07,0,0.196
2018-07-12,0,0.07
2018-08-07,0,0.129
2018-09-05,0,0.054
2018-09-09,0,0.109
2018-09-10,0,0.3543333333333334
2018-09-12,0,0.198
2018-09-13,0,0.18100000000000002
