"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-01-01,10.533866849148,53325,1,1,1996.00147996357,1753,1996,1,2.35459548087764,NA,NA,-3.53380092694101,0.305216082821025,0.0306169221374928,27.8652598093797,0.0341013670046197,50.8500896011654
"2",1996-01-02,10.3073320781986,53326,1,2,1996.00421220401,1753,1996,2,2.33285549424124,NA,NA,-3.54601267312224,0.305087615551807,0.0302610135076845,26.9490512373025,0.0338082401113332,50.3298731733427
"3",1996-01-03,9.71267830445633,53327,1,3,1996.00694444444,1753,1996,3,2.27343207377044,NA,NA,-3.5703670245372,0.303359750692564,0.0295411028154246,24.7901669341996,0.0335162062585235,48.2848675957385
"4",1996-01-04,9.45782668713824,53328,1,4,1996.00967668488,1753,1996,4,2.2468426195812,NA,NA,-3.5843312079036,0.303034508472991,0.0291392666963984,23.8113331952978,0.0337299303900446,50.4060817381447
"5",1996-01-05,8.94812345250204,53329,1,5,1996.01240892532,1753,1996,5,2.19144384019141,NA,NA,-3.60769733870957,0.30149217803503,0.0284597209876088,22.0027187653246,0.0334627032654626,52.0551774309023
"6",1996-01-06,8.21188544691643,53330,1,6,1996.01514116576,1753,1996,6,2.10558254958502,NA,NA,-3.64113520007631,0.298669129915479,0.0274871581899753,19.5023284690189,0.0331460937040468,51.7200891681558
"7",1996-01-07,7.5039642876995,53331,1,7,1996.01787340619,1753,1996,7,2.01543145259072,9.23938244372273,NA,-3.67566567907626,0.295437336075598,0.0265191533195681,17.1934945444858,0.0333580501951409,52.9316055773472
"8",1996-01-08,6.71109258937653,53332,1,8,1996.02060564663,1753,1996,8,1.90376176773963,8.69327183518395,NA,-3.71578795139824,0.290570517087372,0.0254737358942694,14.7706502558774,0.0333850768496105,57.9873528559614
"9",1996-01-09,6.71109258937653,53333,1,9,1996.02333788707,1753,1996,9,1.90376176773963,8.1795233367808,NA,-3.72162112989466,0.291336375523151,0.0253343022947239,14.6898013006494,0.0335580366751912,63.1260474836205
"10",1996-01-10,7.22079582401273,53334,1,10,1996.0260701275,1753,1996,10,1.97696517176292,7.82354012528886,NA,-3.70485173151948,0.295879490302222,0.025782786911949,16.0852815416342,0.0333153929032984,61.4831273168704
"11",1996-01-11,7.36238005585611,53335,1,11,1996.02880236794,1753,1996,11,1.99638325762003,7.52419060653427,NA,-3.70463663925406,0.29768309242903,0.025796781078449,16.4095810430912,0.0333436699572601,60.395248986185
"12",1996-01-12,7.5039642876995,53336,1,12,1996.03153460838,1753,1996,12,2.01543145259072,7.31788215441962,NA,-3.70451409435598,0.299482325515757,0.0258067661286069,16.7316236418308,0.0336041903954028,61.8405971901789
"13",1996-01-13,7.84376644412363,53337,1,13,1996.03426684882,1753,1996,13,2.05971913279184,7.26529372544922,NA,-3.69615351029627,0.302463167358325,0.0260410648574815,17.6480666523383,0.0338060845845668,66.0517206376912
"14",1996-01-14,7.41901374859347,53338,1,14,1996.03699908925,1753,1996,14,2.00404613036559,7.25315793414836,NA,-3.7195947330601,0.300495251585516,0.0254316137002773,16.3017352821262,0.033733047870844,67.0835855057345
"15",1996-01-15,7.41901374859347,53339,1,15,1996.03973132969,1753,1996,15,2.00404613036559,7.3542895283222,NA,-3.72537088981605,0.301299851175419,0.0252894465977332,16.2106057730508,0.0337443045105045,67.6562727983655
"16",1996-01-16,6.85267682121992,53340,1,16,1996.04246357013,1753,1996,16,1.92463935276118,7.37451584715697,NA,-3.75593590638042,0.297823048447655,0.0245225267389408,14.5190837302576,0.0336315285510915,64.9744296977833
"17",1996-01-17,9.57109407261295,53341,1,17,1996.04519581056,1753,1996,17,2.25874752208752,7.71027273981415,NA,-3.65102444639224,0.314000569874962,0.0273711308709052,22.6343521531498,0.0337637277136046,64.9472195103577
"18",1996-01-18,14.7247601117122,53342,1,18,1996.047928051,1753,1996,18,2.68953043817997,8.76204131922217,NA,-3.50384621384395,0.330203187660014,0.0318447207441469,40.5134674947674,0.0339280973905675,64.9114423268529
"19",1996-01-19,20.4164462318164,53343,1,19,1996.05066029144,1753,1996,19,3.01634076388945,10.6066815969531,NA,-3.40035762096601,0.340425641181728,0.0354218612535676,62.4834886217175,0.0332669983729397,59.118556290668
"20",1996-01-20,16.7352562038883,53344,1,20,1996.05339253188,1753,1996,20,2.8175176440106,11.8768944197767,NA,-3.46838926929482,0.335415894044812,0.0330184153088162,47.7421896648465,0.0326727892348223,55.6245615048282
