ActivityStartDate,USGSPCode,ResultMeasureValue
1998-07-01,0,0.048
1998-07-13,0,0.057999999999999996
1998-07-23,0,0.086
1998-07-29,0,0.061
1998-08-06,0,0.061
1998-08-12,0,0.034
1998-08-20,0,0.07400000000000001
1998-08-27,0,0.07
1998-09-03,0,0.07200000000000001
1998-09-08,0,0.07
1998-09-16,0,0.066
1998-09-22,0,0.078
2000-07-20,0,0.055999999999999994
2000-08-09,0,0.09
2000-09-05,0,0.064
2001-02-14,0,0.055999999999999994
2001-05-02,0,0.042
2001-07-26,0,0.065
2001-09-18,0,0.045
2002-02-28,0,0.026000000000000002
2002-03-27,0,0.018000000000000002
2002-04-03,0,0.063
2002-04-09,0,0.08199999999999999
2002-06-05,0,0.042
2002-07-22,0,0.064
2002-09-17,0,0.054000000000000006
2002-10-17,0,0.026000000000000002
2002-10-29,0,0.03
2002-11-12,0,0.059000000000000004
2002-11-20,0,0.035
2002-11-26,0,0.027000000000000003
2003-04-01,0,0.040999999999999995
2003-06-03,0,0.03
2003-08-20,0,0.069
2003-09-17,0,0.047
2004-04-07,0,0.045
2004-07-13,0,0.07400000000000001
2004-09-07,0,0.047
2004-10-20,0,0.032
2005-04-18,0,0.03
2005-06-22,0,0.057999999999999996
2005-08-08,0,0.055999999999999994
2005-10-03,0,0.053
2006-04-26,0,0.054000000000000006
2006-06-20,0,0.046
2006-08-24,0,0.064
2006-10-03,0,0.073
2007-03-15,0,0.046
2007-04-02,0,0.067
2007-04-24,0,0.049
2007-05-17,0,0.048
2007-06-11,0,0.052000000000000005
2007-06-28,0,0.05
2007-07-25,0,0.045
2007-08-14,0,0.068
2007-08-28,0,0.085
2007-09-10,0,0.073
2007-10-10,0,0.068
2007-11-08,0,0.03
2008-04-17,0,0.06
2008-06-18,0,0.057
2008-07-31,0,0.062
2008-10-22,0,0.04
2009-04-14,0,0.042
2009-06-15,0,0.046
2009-08-05,0,0.033
2009-10-07,0,0.057
2010-04-07,0,0.047
2010-06-15,0,0.068
2010-08-11,0,0.061
2010-10-12,0,0.04
2011-03-28,0,0.04
2011-06-20,0,0.054000000000000006
2011-08-02,0,0.063
2011-10-18,0,0.031
2012-03-06,0,0.019
2012-03-27,0,0.040999999999999995
2012-04-09,0,0.027999999999999997
2012-05-23,0,0.033
2012-06-13,0,0.059000000000000004
2012-06-18,0,0.05
2012-07-25,0,0.06
2012-08-29,0,0.062
2012-09-11,0,0.057
2012-09-24,0,0.062
2012-10-09,0,0.038
2012-10-19,0,0.036000000000000004
2013-04-02,0,0.0365
2013-06-04,0,0.0573
2013-08-20,0,0.0325
2013-10-30,0,0.0286
