ActivityStartDate,USGSPCode,ResultMeasureValue
2017-04-03,0,0.049
2017-05-05,0,0.561
2017-06-01,0,0.177
2017-07-05,0,0.084
2017-08-03,0,0.04
2017-09-06,0,0.057999999999999996
2017-10-05,0,0.067
2017-11-01,0,0.025
2017-11-19,0,1.08
2017-12-05,0,0.043
2017-12-05,0,0.044000000000000004
2018-01-03,0,0.026000000000000002
2018-01-11,0,0.61
2018-01-12,0,0.6659999999999999
2018-01-12,0,0.62
2018-01-13,0,0.5479999999999999
2018-01-13,0,0.573
2018-01-14,0,0.263
2018-02-07,0,0.037000000000000005
2018-02-15,0,0.626
2018-02-15,0,0.29
2018-02-15,0,0.054000000000000006
2018-02-16,0,0.657
2018-02-16,0,0.826
2018-02-17,0,0.392
2018-03-08,0,0.1
2018-03-08,0,0.099
2018-03-29,0,0.462
2018-03-29,0,0.537
2018-03-30,0,0.745
2018-03-30,0,0.8370000000000001
2018-03-30,0,0.6759999999999999
2018-03-31,0,0.495
2018-04-02,0,0.094
2018-05-07,0,0.073
2018-05-13,0,0.5920000000000001
2018-05-13,0,0.39
2018-05-14,0,0.47100000000000003
2018-05-14,0,0.629
2018-05-15,0,0.519
2018-06-06,0,0.063
2018-06-06,0,0.062
2018-06-10,0,1.29
2018-06-10,0,0.33
2018-06-11,0,1.2
2018-06-12,0,0.522
2018-06-13,0,0.213
2018-07-11,0,0.045
2018-08-06,0,0.048
2018-08-11,0,0.44799999999999995
2018-08-11,0,0.397
2018-08-11,0,0.596
2018-08-13,0,0.10400000000000001
2018-08-21,0,1.58
2018-08-21,0,1.46
2018-08-21,0,0.525
2018-08-21,0,0.395
2018-08-22,0,0.311
2018-08-22,0,0.462
2018-09-04,0,0.06
2018-09-04,0,0.055
2007-01-23,0,0.115
2007-02-22,0,0.079
2007-03-21,0,0.17
2007-04-19,0,0.018000000000000002
2007-05-30,0,0.03
2007-05-30,0,0.03
2007-06-21,0,0.026000000000000002
2007-06-21,0,0.026000000000000002
2007-07-31,0,0.057999999999999996
2007-07-31,0,0.057999999999999996
2007-08-27,0,0.079
2007-08-27,0,0.079
2007-12-20,0,0.10400000000000001
2008-03-20,0,0.209
2008-06-16,0,0.163
2008-09-03,0,0.05
2008-12-08,0,0.044000000000000004
2009-03-18,0,0.062
2009-06-23,0,0.079
2009-09-08,0,0.055999999999999994
2009-12-17,0,0.059000000000000004
2010-03-04,0,0.03
2010-06-24,0,0.292
2010-09-01,0,0.045
2010-12-07,0,0.077
2011-03-24,0,0.03
2011-06-02,0,0.081
2011-09-22,0,0.028999999999999998
2011-11-08,0,0.04
2012-03-08,0,0.038
2012-06-06,0,0.027999999999999997
2012-08-30,0,0.027000000000000003
2012-11-13,0,0.138
2013-03-14,0,0.114
2013-06-03,0,0.295
2013-09-17,0,0.027999999999999997
2013-11-12,0,0.039
2014-03-06,0,0.040999999999999995
2014-06-10,0,0.128
2014-09-23,0,0.012
2014-10-08,0,0.01
2014-11-20,0,
2014-12-15,0,
2015-01-20,0,0.034
2015-03-18,0,0.065
2015-04-01,0,0.027000000000000003
2015-05-14,0,0.023
2015-06-08,0,0.03
2015-07-06,0,0.013999999999999999
2015-09-24,0,0.026000000000000002
2015-10-26,0,0.027999999999999997
2015-12-21,0,0.016
2016-01-04,0,0.047
2016-03-14,0,0.22399999999999998
2016-04-26,0,0.039
2017-07-13,0,0.389
