"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1975-01-10,778.698534484923,45664,1,10,1975.02614155251,1501,1975,1,6.65762398057902,NA,NA,-0.482051777257074,0.405500450230969,0.675264729505544,45431.5094140601,0.372300470868517,11138.8046276787
"2",1975-01-11,849.94843942291,45665,1,11,1975.02888127854,1501,1975,2,6.74517568814204,NA,NA,-0.45520684224225,0.411566809350087,0.698016053450605,51259.1894198623,0.368957742575324,10210.0213570388
"3",1975-01-12,752.512530805488,45666,1,12,1975.03162100457,1501,1975,3,6.62341764871759,NA,NA,-0.506044672424489,0.40337974176465,0.657456670130074,42745.9146682635,0.37068120320031,8748.89287094621
"4",1975-01-13,571.471133284547,45667,1,13,1975.03436073059,1501,1975,4,6.34821397152093,NA,NA,-0.632825145117782,0.381353886834518,0.580264252436465,28650.6089231942,0.385971081159624,10412.0401539335
"5",1975-01-14,407.648738092959,45668,1,14,1975.03710045662,1501,1975,5,6.01040586753921,NA,NA,-0.791918613644196,0.353314875470051,0.489963697350625,17256.9383657,0.380394539699369,10727.1621482684
"6",1975-01-15,303.58432768807,45669,1,15,1975.03984018265,1501,1975,6,5.71565942260824,NA,NA,-0.926430874518701,0.331737255085143,0.421109003667192,11045.5569010107,0.381474291391224,11968.8924487298
"7",1975-01-16,253.152024305455,45670,1,16,1975.04257990868,1501,1975,7,5.53399019485029,559.573675440622,NA,-1.00494527347913,0.322327570745822,0.390598965173392,8543.31137786249,0.372013219487894,10465.8022162693
"8",1975-01-17,153.250190316762,45671,1,17,1975.0453196347,1501,1975,8,5.03207181668675,470.223911988027,NA,-1.20892419071747,0.297196730856706,0.312219096493991,4134.0357467912,0.368837942398142,9606.14398786292
"9",1975-01-18,153.250190316762,45672,1,18,1975.04805936073,1501,1975,9,5.03207181668675,370.695590687149,NA,-1.21247770701052,0.297219628212151,0.31109126986067,4119.10240135946,0.371130539879883,9811.49939887951
"10",1975-01-19,130.681663760926,45673,1,19,1975.05079908676,1501,1975,10,4.87276431821691,281.862609680783,NA,-1.23220940713718,0.30103630602668,0.30544839904827,3448.78603033586,0.371269202057128,9730.2834642271
"11",1975-01-20,106.640661193919,45674,1,20,1975.05353881279,1501,1975,11,4.66946487609428,215.458256524979,NA,-1.25578792219418,0.305877563173629,0.298780916795936,2752.89360646266,0.349551900043063,6406.88924786385
"12",1975-01-21,78.1255969006606,45675,1,21,1975.05627853881,1501,1975,12,4.35831774835583,168.383522068936,NA,-1.28925347591267,0.313247562780218,0.289438171919352,1953.72258742386,0.35097697335657,6475.840304802
"13",1975-01-22,67.4784626660379,45676,1,22,1975.05901826484,1501,1975,13,4.21180847535005,134.654112780074,NA,-1.29474014064772,0.314938692123175,0.287943989641016,1678.75353402347,0.350663167819875,7056.21946905472
"14",1975-01-23,54.7641986465018,45677,1,23,1975.06175799087,1501,1975,14,4.00303667108401,106.312994828795,NA,-1.28371236541899,0.314621439452603,0.291142809868521,1377.57911104573,0.350945608524562,6820.1211980809
"15",1975-01-24,53.3483563280679,45678,1,24,1975.06449771689,1501,1975,15,3.9768431680523,92.041304258982,NA,-1.28345316295168,0.314559222839581,0.291220704280705,1342.32300593953,0.356431738213917,9864.78333243789
"16",1975-01-25,55.4721198057187,45679,1,25,1975.06723744292,1501,1975,16,4.01588054869154,78.0730084716902,NA,-1.28730431504361,0.314577247709483,0.290109009274495,1390.43189253828,0.347806809681791,9299.47577214919
"17",1975-01-26,60.5691521520806,45680,1,26,1975.06997716895,1501,1975,17,4.10378572307551,68.0569353847123,NA,-1.29458671561806,0.314626881738474,0.288002351194057,1507.16663104001,0.344601599297656,8473.85012576946
"18",1975-01-27,66.6572741213462,45681,1,27,1975.07271689498,1501,1975,18,4.19956417977445,62.3450229457734,NA,-1.30268433762746,0.314651815471704,0.285661434041935,1645.17804128132,0.342880398449374,7051.65019555423
"19",1975-01-28,81.5236184649019,45682,1,28,1975.075456621,1501,1975,19,4.4008927753791,62.8304545978079,NA,-1.29932358928096,0.311873272951583,0.286432759141392,2017.52942158875,0.341825616253674,6693.65891622229
"20",1975-01-29,214.329627933999,45683,1,29,1975.07819634703,1501,1975,20,5.36751514739829,83.8091924932308,NA,-1.11705334906611,0.313774380721351,0.348093022235851,6446.01438220877,0.338042151458558,6221.6624629948
