"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1996-01-01,5323.56711731134,53325,1,1,1996.00147996357,1753,1996,1,8.57989886841658,NA,NA,-4.55254731237443,0.399478792425607,0.0114231690652067,5254.15742303236,0.0125143190109977,6423.33145874288
"2",1996-01-02,4389.11118714499,53326,1,2,1996.00421220401,1753,1996,2,8.38688202250588,NA,NA,-4.72869258220028,0.399621963527674,0.0095802901083177,3633.03001358021,0.0122459145676921,6141.90988233106
"3",1996-01-03,4219.21010893293,53327,1,3,1996.00694444444,1753,1996,3,8.34740321153209,NA,NA,-4.75896486137466,0.400297017905095,0.0093018642301204,3390.89929271818,0.0123501307865059,6156.82006730421
"4",1996-01-04,5125.3491927306,53328,1,4,1996.00967668488,1753,1996,4,8.54195393685246,NA,NA,-4.57371195910347,0.402012270450458,0.0112025356483252,4960.82076840109,0.0128364887926031,6610.6898034135
"5",1996-01-05,5351.88396368002,53329,1,5,1996.01240892532,1753,1996,5,8.58520392064628,NA,NA,-4.52765017267922,0.40301281357707,0.0117391943424568,5428.23603390011,0.0126810374212837,6421.78157598301
"6",1996-01-06,5436.83450278605,53330,1,6,1996.01514116576,1753,1996,6,8.60095227761442,NA,NA,-4.50778359565254,0.403936281933285,0.0119769375367714,5626.07659333143,0.0129375081596239,6674.12506125869
"7",1996-01-07,4728.91334356912,53331,1,7,1996.01787340619,1753,1996,7,8.46145071800339,4939.26705945072,NA,-4.63383097515399,0.404372409660301,0.0105644175304975,4316.38977833326,0.012843185742001,6521.08199520335
"8",1996-01-08,5295.25027094267,53332,1,8,1996.02060564663,1753,1996,8,8.57456552244122,4935.22179568377,NA,-4.52281387830604,0.405622778996907,0.0118155327224804,5405.71992624401,0.0128301260965209,6477.60449112104
"9",1996-01-09,5861.58719831621,53333,1,9,1996.02333788707,1753,1996,9,8.676175698852,5145.57551156537,NA,-4.42161505797538,0.406735679667739,0.0130753105282704,6621.87509048323,0.0130213448964075,6636.84992124808
"10",1996-01-10,5606.73558099812,53334,1,10,1996.0260701275,1753,1996,10,8.63172393628117,5343.79343614611,NA,-4.45894567764403,0.407521664434856,0.0126059250360316,6106.58684043092,0.0130667514431113,6716.24140475051
"11",1996-01-11,5436.83450278605,53335,1,11,1996.02880236794,1753,1996,11,8.60095227761442,5388.2913375826,NA,-4.48314430925685,0.408334425958196,0.0123033655454458,5779.41370253586,0.0132168662580155,6818.84342742752
"12",1996-01-12,5465.15134915473,53336,1,12,1996.03153460838,1753,1996,12,8.60614709449152,5404.47239265042,NA,-4.47332171317039,0.409225666071951,0.0124306776891731,5869.63021915227,0.0131588489978141,6678.99772685024
"13",1996-01-13,5578.41873462944,53337,1,13,1996.03426684882,1753,1996,13,8.62666063432462,5424.69871148519,NA,-4.44908874302281,0.410149519354806,0.0127443117194014,6142.44446687227,0.0132351497998142,6761.97928589719
"14",1996-01-14,5550.10188826076,53338,1,14,1996.03699908925,1753,1996,14,8.62157156481715,5542.01136072685,NA,-4.44898802561587,0.411018147028411,0.0127488814538624,6113.45586501742,0.0128078529098065,6267.36112631712
"15",1996-01-15,5295.25027094267,53339,1,15,1996.03973132969,1753,1996,15,8.57456552244122,5542.01136072685,NA,-4.4879824314418,0.411781799237515,0.0122654873063067,5611.57847844171,0.0130559821872988,6425.24654085061
"16",1996-01-16,5295.25027094267,53340,1,16,1996.04246357013,1753,1996,16,8.57456552244122,5461.10608538778,NA,-4.48300651046126,0.412661659271877,0.0123297665325668,5640.98684304103,0.0131506830228005,6528.55173412538
