"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2009-04-21,6286.33989384637,8.74613428745891,0.0121,0.0121,1,0.0121,58184,4,112,2009.30285388128,1912,2009,0.945362789804791,-0.326020238102642,-4.42002035144694,0.419275596528349,0.0131396048519886
"2",2009-05-12,6314.65674021505,8.75062867704675,0.0114,0.0114,1,0.0114,58205,5,133,2009.36038812785,1913,2009,0.768956480493091,-0.639301127097143,-4.36212905430975,0.415025572600905,0.0138980610503875
"3",2009-06-23,6031.48827652828,8.70474907129606,0.0117,0.0117,1,0.0117,58247,6,175,2009.475456621,1914,2009,0.15360011328281,-0.988133090833167,-4.2911814864393,0.39890634571706,0.0148223611474742
"4",2009-08-11,6201.38935474034,8.73252863540313,0.0278,0.0278,1,0.0278,58296,8,224,2009.60970319635,1916,2009,-0.635985973338394,-0.77170061663628,-4.58528412765558,0.323064678206644,0.0107473213252719
"5",2009-09-22,5578.41873462944,8.62666063432462,0.0067,0.0067,1,0.0067,58338,9,266,2009.7247716895,1917,2009,-0.987462916490306,-0.157851159503057,-4.2860902316926,0.318658985786181,0.0144751997338204
"6",2009-11-03,5804.95350557886,8.66646688472504,0.0175,0.0175,1,0.0175,58380,11,308,2009.83984018265,1919,2010,-0.844865556651108,0.534978682925416,-4.6831835718957,0.32378743426073,0.00974730521282282
"7",2010-04-15,5606.73558099812,8.63172393628117,0.0074,0.0074,1,0.0074,58543,4,106,2010.28641552511,1924,2010,0.973938021199524,-0.226814309208998,-4.08744372655531,0.392802330283022,0.0181280123901127
"8",2010-05-10,5748.3198128415,8.65666288462842,0.0214,0.0214,1,0.0214,58568,5,131,2010.3549086758,1925,2010,0.79050657255816,-0.612453556396198,-4.48434920134139,0.402612327922263,0.0122368809582441
"9",2010-06-08,6031.48827652828,8.70474907129606,0.0166,0.0166,1,0.0166,58597,6,160,2010.43436073059,1926,2010,0.400830974454179,-0.916152023366272,-4.43896757726862,0.405322672002056,0.0128190319270792
"10",2010-08-09,5804.95350557886,8.66646688472504,0.0097,0.0097,1,0.0097,58659,8,222,2010.60422374429,1928,2010,-0.609045909606555,-0.793134969593148,-4.40358134102824,0.371824319544211,0.0131090207520942
"11",2010-09-27,5012.08180725589,8.51960663816046,0.0121,0.0121,1,0.0121,58708,9,271,2010.73847031963,1929,2010,-0.997377144672058,-0.0723797712473049,-4.60551589339612,0.351616580510553,0.0106340008544296
"12",2010-10-19,5380.2008100487,8.59048097774712,0.0084,0.0084,1,0.0084,58730,10,293,2010.79874429224,1930,2011,-0.953464985740863,0.301503766089541,-4.4149500300017,0.342062460286386,0.0128238742874799
"13",2011-05-02,6286.33989384637,8.74613428745891,0.0164,0.0164,1,0.0164,58925,5,123,2011.33299086758,1937,2011,0.867099285941111,-0.498135351406036,-4.44720666669602,0.432883797910478,0.0128615572438195
"14",2011-05-23,6484.55781842711,8.77717890914087,0.0086,0.0086,1,0.0086,58946,5,144,2011.39052511416,1937,2011,0.634878301538288,-0.772612155117857,-4.40745322956319,0.42585136692903,0.0133427977218711
"15",2011-06-15,6371.2904329524,8.75955730779105,0.0086,0.0086,1,0.0086,58969,6,167,2011.45353881279,1938,2011,0.287795594251173,-0.957691858548257,-4.43238005151503,0.411227538761202,0.0129349024206284
"16",2011-07-19,6088.12196926563,8.7140949337143,0.0128,0.0128,1,0.0128,59003,7,201,2011.54668949772,1939,2011,-0.289169123098079,-0.957278025573912,-4.49843831912033,0.38902754724173,0.0120009783558436
"17",2011-09-13,6088.12196926563,8.7140949337143,0.0084,0.0084,1,0.0084,59059,9,257,2011.70011415525,1941,2011,-0.951277916731877,-0.308334761482158,-4.39839587124957,0.348739930752002,0.0130680350699094
"18",2011-10-11,5748.3198128415,8.65666288462842,0.0091,0.0091,1,0.0091,59087,10,285,2011.77682648402,1942,2012,-0.985828077144397,0.167758762256343,-4.40602777276712,0.344753654543358,0.0129507674297665
"19",2012-04-17,6173.07250837166,8.72795196837572,0.007,0.007,1,0.007,59276,4,108,2012.29382969035,1948,2012,0.962319203077514,-0.271922326020243,-4.15989924371621,0.42098137565172,0.0170554311339869
"20",2012-05-23,5606.73558099812,8.63172393628117,0.0065,0.0065,1,0.0065,59312,5,144,2012.39219034608,1949,2012,0.626759887475288,-0.779212450780892,-4.44312838370257,0.425048404818046,0.012870784410387
"21",2012-06-11,5720.00296647283,8.65172460298784,0.0097,0.0097,1,0.0097,59331,6,163,2012.44410291439,1950,2012,0.344035837518944,-0.938956517897735,-4.53368967033822,0.424349750568814,0.0117529228641048
"22",2012-07-02,5521.78504189208,8.61645646415038,0.0163333333333333,0.0163333333333333,1,0.0163333333333333,59352,7,184,2012.50147996357,1951,2012,-0.0092987513483568,-0.999956765677077,-4.66497300565577,0.398383398957876,0.0101974423577684
"23",2012-09-04,5153.66603909928,8.54746359266343,0.0104,0.0104,1,0.0104,59416,9,248,2012.67634335155,1953,2012,-0.89480665905477,-0.446453853059015,-4.68253969388824,0.362887490727452,0.00988540325626821
"24",2012-10-15,5606.73558099812,8.63172393628117,0.0141,0.0141,1,0.0141,59457,10,289,2012.78836520947,1954,2013,-0.971086486072487,0.238727955144321,-4.41748089037464,0.344283897197285,0.0128012150159553
"25",2013-04-16,5635.05242736679,8.63676173031113,0.0321,0.0321,1,0.0321,59640,4,107,2013.28915525114,1960,2013,0.969889486286098,-0.24354544625529,-4.34898102762804,0.425535440035435,0.0141443387644815
"26",2013-05-08,5578.41873462944,8.62666063432462,0.0107,0.0107,1,0.0107,59662,5,129,2013.34942922374,1961,2013,0.811119757403234,-0.5848801066459,-4.42128667091907,0.443327269822764,0.0132598164482565
"27",2013-05-28,5436.83450278605,8.60095227761442,0.0074,0.0074,1,0.0074,59682,5,149,2013.40422374429,1961,2013,0.566110644710723,-0.824329265491168,-4.50221234091515,0.429666624831822,0.0121563253871629
"28",2013-07-02,5493.46819552341,8.61131506464996,0.0161,0.0161,1,0.0161,59717,7,184,2013.50011415525,1963,2013,-0.000717258534469917,-0.999999742770064,-4.7233333726692,0.399377073812899,0.00962316227865893
"29",2013-09-17,5351.88396368002,8.58520392064628,0.009,0.009,1,0.009,59794,9,261,2013.71107305936,1965,2013,-0.970237858358074,-0.242153872999666,-4.60902514705104,0.355563960951558,0.0106115496449718
"30",2013-10-07,6456.24097205844,8.77280253454107,0.0119,0.0119,1,0.0119,59814,10,281,2013.76586757991,1966,2014,-0.995034175541857,0.0995338610912712,-4.23246412489142,0.344826222448859,0.0154057946702637
"31",2014-08-12,6229.70620110902,8.737084451939,0.011,0.011,1,0.011,60123,8,225,2014.61244292237,1976,2014,-0.64917530271254,-0.760638827794165,-4.55131172131358,0.379031139861005,0.0113393146522158
"32",2014-10-28,6059.80512289695,8.70943292060849,0.01,0.01,1,0.01,60200,10,302,2014.82340182648,1978,2015,-0.895520326257312,0.44502061217431,-4.16603610466113,0.329448094553415,0.0163787898804504
"33",2015-04-08,5465.15134915473,8.60614709449152,0.013,0.013,1,0.013,60362,4,99,2015.26723744292,1984,2015,0.994140630964052,-0.108094430320884,-4.21731584943027,0.462368531174072,0.0164008269749702
"34",2015-06-11,6229.70620110902,8.737084451939,0.007,0.007,1,0.007,60426,6,163,2015.44257990868,1986,2015,0.353005130555139,-0.935621385925818,-4.49190911491351,0.417944010023452,0.0122213541497911
"35",2015-07-09,6824.35997485124,8.82825383907729,0.009,0.009,1,0.009,60454,7,191,2015.51929223744,1987,2015,-0.12092007147113,-0.992662246847042,-4.48450471469295,0.40181439774949,0.0122310520662958
"36",2015-07-30,7164.16213127537,8.87684639431416,0.01,0.01,1,0.01,60475,7,212,2015.57682648402,1987,2015,-0.464185693379068,-0.885737908222401,-4.40313119525418,0.386903129485567,0.0131901600326239
"37",2015-11-03,6088.12196926563,8.7140949337143,0.026,0.026,1,0.026,60571,11,308,2015.83984018265,1991,2016,-0.844865556650934,0.534978682925691,-4.19738934413219,0.324192421158084,0.0158459872483339
"38",2016-03-01,5635.05242736679,8.63676173031113,0.04,0.04,1,0.04,60690,3,61,2016.1654143898,1995,2016,0.862064492916188,0.506798589237534,-4.04962414661004,0.465021863846444,0.0194190355575463
