Date,code,"Chloride, mg/L"
2010-08-30,0,97.8
2010-08-31,0,124.8
2010-09-01,0,131.9
2010-09-02,0,92.3
2010-09-03,0,115.0
2010-09-04,0,108.6
2010-09-05,0,150.3
2010-09-06,0,143.1
2010-09-07,0,138.0
2010-09-08,0,149.0
2010-09-09,0,146.4
2010-09-10,0,164.3
2010-09-11,0,100.2
2010-09-12,0,74.5
2010-09-13,0,131.63333333333333
2010-09-14,0,163.0
2010-09-15,0,173.0
2010-09-16,0,166.3
2010-09-17,0,115.8
2010-09-18,0,169.5
2010-09-19,0,137.0
2010-09-20,0,129.96666666666667
2010-09-21,0,148.9
2010-09-22,0,135.4
2010-09-23,0,131.6
2010-09-24,0,74.5
2010-09-25,0,65.1
2010-09-26,0,68.9
2010-09-27,0,122.53333333333335
2010-09-28,0,58.5
2010-09-29,0,99.8
2010-09-30,0,136.5
2010-10-01,0,69.5
2010-10-02,0,93.1
2010-10-03,0,90.5
2010-10-04,0,85.03333333333333
2010-10-05,0,65.2
2010-10-06,0,68.6
2010-10-07,0,89.7
2010-10-08,0,109.5
2010-10-09,0,119.6
2010-10-10,0,108.8
2010-10-11,0,96.63333333333333
2010-10-12,0,106.7
2010-10-13,0,104.5
2010-10-14,0,114.6
2010-10-15,0,71.8
2010-10-16,0,150.0
2010-10-18,0,111.43333333333334
2010-10-19,0,134.8
2010-10-20,0,118.9
2010-10-21,0,96.4
2010-10-22,0,93.3
2010-10-23,0,99.7
2010-10-24,0,95.1
2010-10-25,0,116.8
2010-10-26,0,118.25
2010-10-27,0,119.2
2010-10-28,0,132.4
2010-10-29,0,120.1
2010-10-30,0,119.9
2010-10-31,0,90.4
2010-11-01,0,99.63333333333333
2010-11-02,0,122.0
2010-11-03,0,88.9
2010-11-04,0,93.9
2010-11-05,0,81.5
2010-11-06,0,96.5
2010-11-07,0,98.5
2010-11-08,0,86.16666666666667
2010-11-09,0,116.8
2010-11-10,0,105.5
2010-11-11,0,102.1
2010-11-12,0,92.4
2010-11-13,0,78.8
2010-11-14,0,77.3
2010-11-15,0,85.76666666666665
2010-11-16,0,103.9
2010-11-17,0,72.0
2010-11-18,0,92.7
2010-11-19,0,97.0
2010-11-20,0,75.5
2010-11-21,0,78.0
2010-11-22,0,83.46666666666667
2010-11-23,0,82.1
2010-11-24,0,84.9
2010-11-25,0,55.5
2010-11-26,0,71.25
2010-11-27,0,65.46666666666665
2010-11-28,0,62.35
2010-11-29,0,60.9
2010-11-30,0,58.0
2010-12-01,0,70.6
2010-12-02,0,63.13333333333333
2010-12-03,0,59.5
2010-12-04,0,60.2
2010-12-05,0,62.4
2010-12-06,0,66.33333333333333
2010-12-07,0,72.3
2010-12-08,0,73.3
2010-12-09,0,75.0
2010-12-10,0,75.2
2010-12-11,0,84.4
2010-12-12,0,81.7
2010-12-13,0,80.63333333333334
2010-12-14,0,86.0
2010-12-15,0,74.3
2010-12-16,0,77.6
2010-12-17,0,87.2
2010-12-18,0,87.5
2010-12-19,0,95.0
2010-12-20,0,90.8
2010-12-21,0,88.6
2010-12-22,0,89.1
2010-12-23,0,85.5
2010-12-24,0,82.6
2010-12-25,0,85.7
2010-12-26,0,88.2
2010-12-27,0,88.2
2010-12-28,0,90.4
2010-12-29,0,91.8
2010-12-30,0,96.8
2010-12-31,0,72.4
2011-01-01,0,80.6
2011-01-02,0,60.5
2011-01-03,0,61.96666666666667
2011-01-04,0,74.7
2011-01-05,0,67.2
