"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1982-03-06,NA,NA,0.103,0.103,1,0.103,48276,3,66,1982.17682648402,1587,1982,0.896157794338953,0.443735515420552,NA,NA,NA
"2",1982-03-09,NA,NA,0.095,0.095,1,0.095,48279,3,69,1982.1850456621,1587,1982,0.917868531006182,0.396884567334828,NA,NA,NA
"3",1982-03-10,NA,NA,0.103,0.103,1,0.103,48280,3,70,1982.18778538813,1587,1982,0.924564254288671,0.381026166675772,NA,NA,NA
"4",1982-03-11,NA,NA,0.091,0.091,1,0.091,48281,3,71,1982.19052511416,1587,1982,0.93098600922891,0.365054859740324,NA,NA,NA
"5",1982-03-12,NA,NA,0.109,0.109,1,0.109,48282,3,72,1982.19326484018,1587,1982,0.937131892922953,0.34897537916971,NA,NA,NA
"6",1982-03-13,NA,NA,0.278,0.278,1,0.278,48283,3,73,1982.19600456621,1587,1982,0.943000084212128,0.332792489662732,NA,NA,NA
"7",1982-03-14,NA,NA,0.311,0.311,1,0.311,48284,3,74,1982.19874429224,1587,1982,0.948588844224135,0.31651098656053,NA,NA,NA
"8",1982-03-15,NA,NA,0.35,0.35,1,0.35,48285,3,75,1982.20148401826,1587,1982,0.953896516889401,0.300135694422153,NA,NA,NA
"9",1982-03-16,NA,NA,0.3395,0.3395,1,0.3395,48286,3,76,1982.20422374429,1587,1982,0.958921529430484,0.283671465598325,NA,NA,NA
"10",1982-03-17,NA,NA,0.326,0.326,1,0.326,48287,3,77,1982.20696347032,1587,1982,0.963662392826657,0.267123178798851,NA,NA,NA
"11",1982-03-18,NA,NA,0.2955,0.2955,1,0.2955,48288,3,78,1982.20970319635,1587,1982,0.968117702258324,0.250495737636516,NA,NA,NA
"12",1982-03-19,NA,NA,0.263,0.263,1,0.263,48289,3,79,1982.21244292237,1587,1982,0.972286137521575,0.233794069179218,NA,NA,NA
"13",1982-03-20,NA,NA,0.211,0.211,1,0.211,48290,3,80,1982.2151826484,1587,1982,0.976166463418592,0.217023122493524,NA,NA,NA
"14",1982-03-21,NA,NA,0.18,0.18,1,0.18,48291,3,81,1982.21792237443,1587,1982,0.979757530124702,0.200187867174668,NA,NA,NA
"15",1982-03-22,NA,NA,0.1555,0.1555,1,0.1555,48292,3,82,1982.22066210046,1587,1982,0.983058273529766,0.183293291870366,NA,NA,NA
"16",1982-03-23,NA,NA,0.1545,0.1545,1,0.1545,48293,3,83,1982.22340182648,1587,1982,0.986067715552579,0.166344402806101,NA,NA,NA
"17",1982-03-24,NA,NA,0.1435,0.1435,1,0.1435,48294,3,84,1982.22614155251,1587,1982,0.988784964429884,0.149346222307072,NA,NA,NA
