ActivityStartDate,USGSPCode,ResultMeasureValue
2005-06-07,0,0.1
2005-07-28,0,0.222
2006-01-26,0,0.069
2009-04-14,0,0.047
2009-07-06,0,0.24100000000000002
2009-08-27,0,0.239
2009-10-27,0,0.132
2010-03-17,0,0.106
2010-06-24,0,0.11800000000000001
2010-07-22,0,0.382
2011-03-08,0,0.02
2011-04-28,0,0.325
2011-06-01,0,0.193
2011-06-29,0,0.14350000000000002
2011-07-19,0,0.08199999999999999
2011-07-27,0,0.126
2011-08-14,0,0.147
2011-08-15,0,0.36
2011-08-17,0,0.307
2011-08-18,0,0.17800000000000002
2011-08-30,0,0.073
2011-09-21,0,0.18100000000000002
2011-10-18,0,0.07
2011-10-25,0,0.139
2011-11-14,0,0.10800000000000001
2011-11-15,0,0.39299999999999996
2011-11-17,0,0.47
2011-11-18,0,0.28
2011-11-22,0,0.139
2011-11-29,0,0.37940000000000007
2011-11-30,0,0.282
2011-12-04,0,0.135
2011-12-05,0,0.14
2011-12-06,0,0.34600000000000003
2011-12-07,0,0.3385
2011-12-14,0,0.091
2012-01-16,0,0.113
2012-01-17,0,0.31899999999999995
2012-01-18,0,0.599
2012-01-19,0,0.345
2012-01-21,0,0.139
2012-02-16,0,0.052000000000000005
2012-03-22,0,0.135
2012-03-27,0,0.114
2012-04-25,0,0.055
2012-05-15,0,0.10099999999999999
2012-06-27,0,0.178
2012-06-28,0,0.23199999999999998
2012-07-16,0,0.33799999999999997
2012-07-18,0,0.081
2012-07-26,0,0.25
2012-08-09,0,0.10800000000000001
2012-09-05,0,0.096
2012-10-10,0,0.153
2012-10-11,0,0.136
2012-10-25,0,0.161
2012-10-28,0,0.337
2012-10-30,0,0.479
2012-11-01,0,0.2885
2012-11-02,0,0.221
2012-11-07,0,0.157
2012-12-08,0,0.166
2012-12-10,0,0.26
2012-12-11,0,0.37049999999999994
2012-12-12,0,0.316
2012-12-18,0,0.11800000000000001
2012-12-22,0,0.256
2012-12-25,0,0.204
2013-01-09,0,0.08
2013-01-10,0,0.151
2013-01-11,0,0.5
2013-01-13,0,0.435
2013-01-15,0,0.295
2013-01-29,0,0.07900000000000001
2013-01-30,0,0.21
2013-01-31,0,0.608
2013-02-11,0,0.075
2013-02-13,0,0.165
2013-02-26,0,0.084
2013-02-27,0,0.8105
2013-02-28,0,0.429
2013-03-01,0,0.314
2013-03-27,0,0.08900000000000001
2013-04-10,0,0.128
2013-04-11,0,0.722
2013-04-13,0,0.40700000000000003
2013-04-15,0,0.222
2013-04-17,0,0.11900000000000001
2013-05-07,0,0.499
2013-05-21,0,0.077
2013-06-18,0,0.284
2013-06-19,0,0.523
2013-06-25,0,0.5579999999999999
2013-07-01,0,0.212
2013-07-09,0,0.20800000000000002
2013-07-11,0,0.384
2013-07-17,0,0.122
2013-08-20,0,0.257
2013-08-22,0,0.085
2013-09-04,0,0.10800000000000001
2013-09-11,0,0.09
2013-10-21,0,0.14400000000000002
2013-11-05,0,0.216
2013-12-05,0,0.062
2014-01-21,0,0.087
2014-02-24,0,0.212
2014-03-21,0,0.138
2014-03-24,0,0.05
2014-04-30,0,0.578
2014-05-28,0,0.092
2014-06-11,0,0.067
2014-07-01,0,0.099
2014-07-18,0,0.064
2014-08-08,0,0.08499999999999999
2014-09-03,0,0.084
2014-10-17,0,0.15799999999999997
2014-11-10,0,0.163
2014-12-23,0,0.1
2015-03-26,0,0.065
2015-03-30,0,0.078
2015-04-20,0,0.064
2015-05-26,0,0.068
2015-06-10,0,0.161
2015-06-23,0,0.2
2015-07-30,0,0.0785
2015-08-19,0,0.07200000000000001
2015-09-08,0,0.10800000000000001
2015-09-15,0,0.127
2015-10-02,0,0.057999999999999996
2015-11-04,0,0.086
2015-12-01,0,0.06
2015-12-22,0,0.16699999999999998
2016-01-05,0,0.12300000000000001
2016-02-01,0,0.07400000000000001
2016-03-02,0,0.225
2016-03-08,0,0.086
2016-04-06,0,0.113
2016-05-02,0,0.688
2016-06-01,0,0.065
2016-07-06,0,0.07
2016-08-01,0,0.092
2016-09-06,0,0.057
2016-10-03,0,0.07400000000000001
2016-11-07,0,0.081
2016-12-01,0,0.083
2017-01-03,0,0.111
2017-02-08,0,0.6970000000000001
2017-03-07,0,0.109
2017-04-03,0,0.19699999999999998
2017-05-05,0,0.292
2017-05-31,0,0.29
2017-07-05,0,0.156
2017-08-03,0,0.10300000000000001
2017-09-05,0,0.08900000000000001
2017-10-05,0,0.051
2017-11-01,0,0.054000000000000006
2017-12-05,0,0.077
2018-01-02,0,0.10300000000000001
2018-02-07,0,0.07400000000000001
2018-03-08,0,0.11
2018-04-02,0,0.16399999999999998
2018-05-07,0,0.09
2018-06-06,0,0.153
2018-07-11,0,0.154
2018-08-07,0,0.19
2018-09-04,0,0.198
