"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1998-07-01,2.29366455586287,0.830150781276936,0.066,0.066,1,0.066,54237,7,183,1998.49737442922,1783,1998,0.016496199463144,-0.999863928443902,-2.38210766713044,0.40581828079495,0.100282564901911
"2",1998-07-13,1.16099070111577,0.149273693308806,0.062,0.062,1,0.062,54249,7,195,1998.53025114155,1783,1998,-0.188931099399324,-0.981990346021672,-2.75539902591762,0.342995585743863,0.0674360161192866
"3",1998-07-22,3.70950687429673,1.31089894980565,0.42,0.42,1,0.42,54258,7,204,1998.5549086758,1783,1998,-0.338197980653379,-0.941074984197315,-2.36735644283499,0.30193171174486,0.0980992984751265
"4",1998-07-29,0.764554851954289,-0.268461507391173,0.051,0.051,1,0.051,54265,7,211,1998.57408675799,1783,1998,-0.448870397185128,-0.893596870255746,-2.89021886992218,0.263445039032283,0.0575260594726407
"5",1998-08-06,48.7049757541251,3.885781196412,0.42,0.42,1,0.42,54273,8,219,1998.59600456621,1784,1998,-0.567292576326803,-0.8235163221482,-1.58946785183692,0.191958358624571,0.207828128506998
"6",1998-08-12,5.72000296647283,1.7439693240057,0.105,0.105,1,0.105,54279,8,225,1998.61244292237,1784,1998,-0.649175302712803,-0.760638827793941,-1.88122017026747,0.440524230550098,0.167933137240239
"7",1998-08-20,1.72732762848932,0.546575490777809,0.083,0.083,1,0.083,54287,8,233,1998.63436073059,1784,1998,-0.74744876876141,-0.664319454838599,-2.48363623630066,0.364458236957504,0.0891690446179226
"8",1998-08-27,1.69901078212064,0.530046188826598,0.084,0.084,1,0.084,54294,8,240,1998.65353881279,1784,1998,-0.821885353145029,-0.569652934939925,-2.50336051367236,0.361484387813168,0.087333161420728
"9",1998-09-03,2.20871401675683,0.792410453294089,0.096,0.096,1,0.096,54301,9,247,1998.67271689498,1785,1998,-0.88440249992158,-0.466724991973281,-2.39576616086485,0.377252841210421,0.0978219482129616
"10",1998-09-08,3.56792264245335,1.27198353355598,0.112,0.112,1,0.112,54306,9,252,1998.68641552511,1785,1998,-0.921250516580692,-0.388969774789517,-2.18624450376923,0.404850550527172,0.121931908191609
"11",1998-09-16,1.72732762848932,0.546575490777809,0.06,0.06,1,0.06,54314,9,260,1998.70833333333,1785,1998,-0.965925826288711,-0.258819045103855,-2.5074452242435,0.356769327768669,0.0868300041056988
"12",1998-09-22,1.13267385474709,0.124581080718434,0.079,0.079,1,0.079,54320,9,266,1998.7247716895,1785,1998,-0.987462916490307,-0.157851159503047,-2.82280660868527,0.31857355313089,0.0625329254153522
"13",1998-10-08,16.1972361228834,2.7848406179843,0.26,0.26,1,0.26,54336,10,282,1998.76860730594,1786,1999,-0.993173438691115,0.116646991724884,-1.69345854958012,0.36957348466002,0.196878937559849
"14",2000-07-27,0.96277277653503,-0.037937848779341,0.073,0.073,1,0.073,54994,7,209,2000.5697859745,1807,2000,-0.424562130014519,-0.905398805917886,-2.83771301360998,0.308523653103981,0.0614138689084613
"15",2000-07-31,29.1663517597377,3.37301570782818,0.16,0.16,1,0.16,54998,7,213,2000.58071493625,1807,2000,-0.485685237294565,-0.874133771384061,-1.3614236989564,0.240696055038454,0.263828395693408
"16",2000-08-03,16.848523589363,2.82426303215013,0.195,0.195,1,0.195,55001,8,216,2000.58891165756,1808,2000,-0.530040580379893,-0.847972277347878,-1.74111482148101,0.399488451135165,0.189888293211596
"17",2000-08-30,1.92554555307006,0.655209331780604,0.082,0.082,1,0.082,55028,8,243,2000.66268214936,1808,2000,-0.853237594032565,-0.521522394657717,-2.45120713578179,0.364186907512349,0.092099010090647
"18",2000-09-13,22.993279251366,3.13520196676618,0.162,0.162,1,0.162,55042,9,257,2000.70093351548,1809,2000,-0.952852670072704,-0.3034333355703,-1.37631198552844,0.264557489655523,0.261501135596324
