ActivityStartDate,USGSPCode,ResultMeasureValue
1998-07-01,0,0.066
1998-07-13,0,0.062
1998-07-22,0,0.42
1998-07-29,0,0.051
1998-08-06,0,0.42
1998-08-12,0,0.105
1998-08-20,0,0.083
1998-08-27,0,0.084
1998-09-03,0,0.096
1998-09-08,0,0.11199999999999999
1998-09-16,0,0.06
1998-09-22,0,0.079
1998-10-08,0,0.26
2000-07-27,0,0.073
2000-07-31,0,0.16
2000-08-03,0,0.195
2000-08-30,0,0.08199999999999999
2000-09-13,0,0.162
2000-11-29,0,0.038
2001-04-02,0,0.032
2001-06-11,0,0.07
2001-08-16,0,0.07
2001-10-11,0,0.065
2002-04-24,0,0.075
2002-06-18,0,0.062
2002-08-29,0,0.042
2002-11-12,0,0.139
2003-04-14,0,0.061
2003-06-03,0,0.07
2003-08-20,0,0.047
2003-09-18,0,0.062
2004-04-07,0,0.071
2004-07-13,0,0.149
2004-09-08,0,0.152
2004-10-20,0,0.073
2005-03-14,0,0.009000000000000001
2005-04-05,0,0.022000000000000002
2005-04-27,0,0.153
2005-05-25,0,0.092
2005-06-14,0,0.094
2005-07-11,0,0.079
2005-07-25,0,0.07200000000000001
2005-08-15,0,0.09
2005-09-01,0,0.063
2005-10-03,0,0.10800000000000001
2005-11-08,0,0.084
2005-11-22,0,0.11800000000000001
2006-04-26,0,0.09300000000000001
2006-06-20,0,0.122
2006-08-24,0,0.049
2006-10-02,0,0.066
2007-04-02,0,0.073
2007-06-11,0,0.064
2007-08-14,0,0.055999999999999994
2007-10-10,0,0.068
2008-04-17,0,0.04
2008-06-18,0,0.054000000000000006
2008-07-31,0,0.08900000000000001
2008-10-21,0,0.085
2009-04-14,0,0.038
2009-06-15,0,0.084
2009-08-05,0,0.062
2009-10-07,0,0.07
2010-03-24,0,0.063
2010-04-07,0,0.081
2010-05-05,0,0.10300000000000001
2010-05-21,0,0.09699999999999999
2010-06-07,0,0.22
2010-07-19,0,0.087
2010-08-11,0,0.076
2010-08-23,0,0.086
2010-09-13,0,0.105
2010-10-01,0,0.155
2010-10-12,0,0.10300000000000001
2010-11-08,0,0.131
2011-03-28,0,0.016
2011-05-16,0,0.1295
2011-05-26,0,0.22799999999999998
2011-06-17,0,0.16399999999999998
2011-06-20,0,0.073
2011-07-19,0,0.23600000000000002
2011-07-28,0,0.4445
2011-07-31,0,0.17800000000000002
2011-08-02,0,0.09300000000000001
2011-08-17,0,0.105
2011-09-08,0,0.155
