"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2000-10-02,NA,NA,0.066,0.066,1,0.066,55061,10,276,2000.75284608379,1810,2001,-0.999840112861201,0.0178815187750061,NA,NA,NA
"2",2000-10-03,NA,NA,0.041,0.041,1,0.041,55062,10,277,2000.75557832423,1810,2001,-0.999385824078191,0.0350424689705943,NA,NA,NA
"3",2000-10-04,NA,NA,0.036,0.036,1,0.036,55063,10,278,2000.75831056466,1810,2001,-0.998637011705635,0.0521930919915514,NA,NA,NA
"4",2000-10-05,NA,NA,0.034,0.034,1,0.034,55064,10,279,2000.7610428051,1810,2001,-0.99759389642201,0.0693283334687337,NA,NA,NA
"5",2000-10-06,NA,NA,0.303,0.303,1,0.303,55065,10,280,2000.76377504554,1810,2001,-0.996256785638334,0.086443143566015,NA,NA,NA
"6",2000-10-07,NA,NA,0.196,0.196,1,0.196,55066,10,281,2000.76650728597,1810,2001,-0.994626073407197,0.103532478472121,NA,NA,NA
"7",2000-10-08,NA,NA,0.189,0.189,1,0.189,55067,10,282,2000.76923952641,1810,2001,-0.992702240306761,0.120591301883422,NA,NA,NA
"8",2000-10-09,NA,NA,0.1385,0.1385,1,0.1385,55068,10,283,2000.77197176685,1810,2001,-0.990485853299876,0.137614586482744,NA,NA,NA
"9",2000-10-10,NA,NA,0.185,0.185,1,0.185,55069,10,284,2000.77470400729,1810,2001,-0.987977565565498,0.154597315433589,NA,NA,NA
"10",2000-10-11,NA,NA,0.131,0.131,1,0.131,55070,10,285,2000.77743624772,1810,2001,-0.985178116307754,0.171534483845977,NA,NA,NA
"11",2000-10-12,NA,NA,0.093,0.093,1,0.093,55071,10,286,2000.78016848816,1810,2001,-0.982088330537533,0.18842110025685,NA,NA,NA
"12",2000-10-13,NA,NA,0.069,0.069,1,0.069,55072,10,287,2000.7829007286,1810,2001,-0.978709118828228,0.205252188106421,NA,NA,NA
"13",2000-10-14,NA,NA,0.057,0.057,1,0.057,55073,10,288,2000.78563296903,1810,2001,-0.975041477049757,0.222022787192281,NA,NA,NA
"14",2000-10-15,NA,NA,0.042,0.042,1,0.042,55074,10,289,2000.78836520947,1810,2001,-0.971086486072643,0.238727955143689,NA,NA,NA
"15",2000-10-16,NA,NA,0.031,0.031,1,0.031,55075,10,290,2000.79109744991,1810,2001,-0.966845311450415,0.255362768872735,NA,NA,NA
"16",2000-10-17,NA,NA,0.027,0.027,1,0.027,55076,10,291,2000.79382969035,1810,2001,-0.962319203077601,0.271922326019935,NA,NA,NA
"17",2000-10-18,NA,NA,0.026,0.026,1,0.026,55077,10,292,2000.79656193078,1810,2001,-0.957509494818152,0.288401746411298,NA,NA,NA
"18",2000-10-19,NA,NA,0.0223333333333333,0.0223333333333333,1,0.0223333333333333,55078,10,293,2000.79929417122,1810,2001,-0.952417604115635,0.304796173484236,NA,NA,NA
"19",2000-10-20,NA,NA,0.019,0.019,1,0.019,55079,10,294,2000.80202641166,1810,2001,-0.947045031574196,0.321100775724119,NA,NA,NA
"20",2000-10-21,NA,NA,0.0186666666666667,0.0186666666666667,1,0.0186666666666667,55080,10,295,2000.80475865209,1810,2001,-0.941393360514482,0.337310748093284,NA,NA,NA
"21",2000-10-22,NA,NA,0.0173333333333333,0.0173333333333333,1,0.0173333333333333,55081,10,296,2000.80749089253,1810,2001,-0.935464256511094,0.353421313435035,NA,NA,NA
"22",2000-10-23,NA,NA,0.0166666666666667,0.0166666666666667,1,0.0166666666666667,55082,10,297,2000.81022313297,1810,2001,-0.929259466897613,0.369427723893544,NA,NA,NA
"23",2000-10-24,NA,NA,0.0206666666666667,0.0206666666666667,1,0.0206666666666667,55083,10,298,2000.81295537341,1810,2001,-0.922780820253315,0.385325262307858,NA,NA,NA
