ActivityStartDate,MonitoringLocationIdentifier,ResultMeasureValue
2010-08-30,Heidelberg,2.9288
2010-08-31,Heidelberg,3.6061
2010-09-01,Heidelberg,3.1519000000000004
2010-09-02,Heidelberg,2.0358
2010-09-03,Heidelberg,2.5361000000000002
2010-09-04,Heidelberg,2.3153
2010-09-05,Heidelberg,3.8961
2010-09-06,Heidelberg,3.7987
2010-09-07,Heidelberg,3.2891000000000004
2010-09-08,Heidelberg,3.7047999999999996
2010-09-09,Heidelberg,3.1139
2010-09-10,Heidelberg,3.689
2010-09-11,Heidelberg,2.055
2010-09-12,Heidelberg,1.5204
2010-09-13,Heidelberg,3.331066666666666
2010-09-14,Heidelberg,5.1789000000000005
2010-09-15,Heidelberg,4.87
2010-09-16,Heidelberg,5.0083
2010-09-17,Heidelberg,4.0230999999999995
2010-09-18,Heidelberg,5.9526
2010-09-19,Heidelberg,4.2453
2010-09-20,Heidelberg,6.414533333333334
2010-09-21,Heidelberg,4.0891
2010-09-22,Heidelberg,2.9051
2010-09-23,Heidelberg,2.1067
2010-09-24,Heidelberg,1.7823
2010-09-25,Heidelberg,1.5520999999999998
2010-09-26,Heidelberg,0.9156
2010-09-27,Heidelberg,2.4655333333333336
2010-09-28,Heidelberg,1.1175
2010-09-29,Heidelberg,3.2870999999999997
2010-09-30,Heidelberg,6.5625
2010-10-01,Heidelberg,2.213
2010-10-02,Heidelberg,2.8619000000000003
2010-10-03,Heidelberg,2.2018
2010-10-04,Heidelberg,2.1961
2010-10-05,Heidelberg,1.4488
2010-10-06,Heidelberg,1.9756
2010-10-07,Heidelberg,3.7849
2010-10-08,Heidelberg,4.8594
2010-10-09,Heidelberg,5.1599
2010-10-10,Heidelberg,3.9964
2010-10-11,Heidelberg,3.2032333333333334
2010-10-12,Heidelberg,3.5042
2010-10-13,Heidelberg,3.6089
2010-10-14,Heidelberg,4.4488
2010-10-15,Heidelberg,2.0464
2010-10-16,Heidelberg,6.5478000000000005
2010-10-17,Heidelberg,-8.1812
2010-10-18,Heidelberg,3.7944333333333327
2010-10-19,Heidelberg,7.0448
2010-10-20,Heidelberg,5.3050999999999995
2010-10-21,Heidelberg,3.2311
2010-10-22,Heidelberg,3.2806
2010-10-23,Heidelberg,4.2921
2010-10-24,Heidelberg,4.5013000000000005
2010-10-25,Heidelberg,6.2259
2010-10-26,Heidelberg,6.09925
2010-10-27,Heidelberg,5.3978
2010-10-28,Heidelberg,5.9754000000000005
2010-10-29,Heidelberg,6.0244
2010-10-30,Heidelberg,5.086
2010-10-31,Heidelberg,3.1368
2010-11-01,Heidelberg,3.8743
2010-11-02,Heidelberg,4.856
2010-11-03,Heidelberg,3.0594
2010-11-04,Heidelberg,3.4916
2010-11-05,Heidelberg,2.8979
2010-11-06,Heidelberg,4.595000000000001
2010-11-07,Heidelberg,5.3855
2010-11-08,Heidelberg,3.6449
2010-11-09,Heidelberg,5.732099999999999
2010-11-10,Heidelberg,5.2494
2010-11-11,Heidelberg,4.828
2010-11-12,Heidelberg,3.9532999999999996
2010-11-13,Heidelberg,2.9906
2010-11-14,Heidelberg,2.7731
2010-11-15,Heidelberg,3.1949333333333336
2010-11-16,Heidelberg,4.0863
2010-11-17,Heidelberg,2.3977
2010-11-18,Heidelberg,4.1105
2010-11-19,Heidelberg,4.2412
2010-11-20,Heidelberg,2.1326
2010-11-21,Heidelberg,2.096
2010-11-22,Heidelberg,2.6575333333333333
2010-11-23,Heidelberg,2.8145
2010-11-24,Heidelberg,3.3667
2010-11-25,Heidelberg,1.9112
2010-11-26,Heidelberg,5.575750000000001
2010-11-27,Heidelberg,11.406799999999999
2010-11-28,Heidelberg,10.1541
2010-11-29,Heidelberg,8.474633333333333
2010-11-30,Heidelberg,7.0233
2010-12-01,Heidelberg,11.7226
2010-12-02,Heidelberg,9.310633333333334
2010-12-03,Heidelberg,9.6726
2010-12-04,Heidelberg,4.9514
2010-12-05,Heidelberg,5.6455
2010-12-06,Heidelberg,6.7685666666666675
2010-12-07,Heidelberg,7.4388
2010-12-08,Heidelberg,6.2653
2010-12-09,Heidelberg,5.8621
2010-12-10,Heidelberg,4.9382
2010-12-11,Heidelberg,6.3578
2010-12-12,Heidelberg,3.1008999999999998
2010-12-13,Heidelberg,4.536933333333333
2010-12-14,Heidelberg,4.8459
2010-12-15,Heidelberg,3.4156
2010-12-16,Heidelberg,3.4066
2010-12-17,Heidelberg,4.5043999999999995
2010-12-18,Heidelberg,4.5231
2010-12-19,Heidelberg,4.7772
2010-12-20,Heidelberg,4.518
2010-12-21,Heidelberg,4.4724
2010-12-22,Heidelberg,4.5905
2010-12-23,Heidelberg,4.4976
2010-12-24,Heidelberg,4.2395
2010-12-25,Heidelberg,4.1385
2010-12-26,Heidelberg,4.1472999999999995
2010-12-27,Heidelberg,3.9495000000000005
2010-12-28,Heidelberg,3.8978
2010-12-29,Heidelberg,3.868
2010-12-30,Heidelberg,5.1354
2010-12-31,Heidelberg,5.0251
2011-01-01,Heidelberg,9.4151
2011-01-02,Heidelberg,11.5442
2011-01-03,Heidelberg,11.440766666666667
2011-01-04,Heidelberg,11.76235
2011-01-05,Heidelberg,10.444500000000001
2011-01-06,Heidelberg,9.2624
2011-01-07,Heidelberg,5.0825000000000005
2011-01-08,Heidelberg,6.4093
2011-01-09,Heidelberg,6.058
2011-01-10,Heidelberg,5.490433333333333
2011-01-11,Heidelberg,5.2946
2011-01-12,Heidelberg,4.8026
2011-01-13,Heidelberg,4.4591
2011-01-14,Heidelberg,5.5443
2011-01-15,Heidelberg,5.0091
2011-01-16,Heidelberg,5.017899999999999
2011-01-17,Heidelberg,5.031899999999999
2011-01-18,Heidelberg,4.0359
2011-01-19,Heidelberg,4.0792
2011-01-20,Heidelberg,4.4504
