Date,"00600 - Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, mg/l","00602 - Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, mg/l","00605 - Organic nitrogen, water, unfiltered, mg/l","00607 - Organic nitrogen, water, filtered, mg/l","00608 - Ammonia (NH3 + NH4+), water, filtered, mg/l as N","00613 - Nitrite, water, filtered, mg/l as N","00618 - Nitrate, water, filtered, mg/l as N","00623 - Ammonia plus organic nitrogen, water, filtered, mg/l as N","00625 - Ammonia plus organic nitrogen, water, unfiltered, mg/l as N","00631 - Nitrate plus nitrite, water, filtered, mg/l as N","00660 - Orthophosphate, water, filtered, mg/l asPO4","00665 - Phosphorus, water, unfiltered, mg/l as P","00666 - Phosphorus, water, filtered, mg/l as P","00671 - Orthophosphate, water, filtered, mg/l as P","00940 - Chloride, water, filtered, mg/l","00955 - Silica, water, filtered, mg/l",MonitoringLocationIdentifier
1996-03-20,8.6,8.3,1.0,0.7,0.2,0.04,7.36,0.9,1.2,7.4,0.184,0.13,0.08,0.06,44.0,5.7,USGS-04193500
1996-04-16,6.1,5.7,0.98,0.58,0.02,0.03,5.07,0.6,1.0,5.1,0.061,0.08,0.02,0.02,51.0,,USGS-04193500
1996-05-01,10.0,9.9,1.5,0.86,0.14,0.06,8.84,1.0,1.6,8.9,0.245,0.3,0.08,0.08,27.0,7.1,USGS-04193500
1996-05-08,6.2,6.0,,,,0.06,5.14,0.8,1.0,5.2,0.245,0.2,0.11,0.08,30.0,6.4,USGS-04193500
1996-06-05,7.3,6.8,1.1,0.56,0.04,0.05,6.15,0.6,1.1,6.2,0.429,0.33,0.15,0.14,18.0,6.9,USGS-04193500
1996-06-25,6.0,5.7,1.1,0.75,0.05,0.08,4.82,0.8,1.1,4.9,0.368,0.27,0.11,0.12,17.0,7.3,USGS-04193500
1996-07-23,8.2,7.6,1.4,0.8,0.1,0.05,6.65,0.9,1.5,6.7,0.46,0.32,0.12,0.15,12.0,6.8,USGS-04193500
1996-08-28,2.6,1.7,1.5,0.57,0.03,0.03,1.07,0.6,1.5,1.1,0.061,0.11,,0.02,47.0,2.5,USGS-04193500
1996-09-11,1.7,0.94,1.4,0.57,0.03,0.02,0.32,0.6,1.4,0.34,,0.11,,,28.0,1.8,USGS-04193500
1996-10-23,1.6,1.0,1.1,0.46,0.04,0.02,0.52,0.5,1.1,0.54,,0.11,0.02,,73.0,0.09,USGS-04193500
1996-11-20,7.7,7.4,1.0,0.72,0.08,0.04,6.56,0.8,1.1,6.6,0.39899999999999997,0.21,0.13,0.13,36.0,7.0,USGS-04193500
1996-12-04,8.7,7.6,1.9,0.77,0.13,0.05,6.65,0.9,2.0,6.7,0.368,0.5,0.12,0.12,36.0,6.7,USGS-04193500
1996-12-19,7.3,6.4,1.4,0.51,0.09,0.04,5.76,0.6,1.5,5.8,0.276,0.35,0.09,0.09,28.0,6.9,USGS-04193500
1997-01-15,7.5,7.3,0.87,0.67,0.13,0.06,6.44,0.8,1.0,6.5,0.368,0.25,0.11,0.12,34.0,7.5,USGS-04193500
1997-02-05,5.2,4.7,0.96,0.46,0.34,0.05,3.85,0.8,1.3,3.9,0.368,0.26,0.12,0.12,44.0,5.3,USGS-04193500
1997-02-26,8.1,7.4,1.7,0.95,0.15,0.03,6.27,1.1,1.8,6.3,0.307,0.32,0.1,0.1,23.0,5.8,USGS-04193500
1997-03-01,8.1,4.2,4.4,0.54,0.16,0.02,3.48,0.7,4.6,3.5,0.307,1.5,0.07,0.1,13.0,4.0,USGS-04193500
1997-03-12,7.7,7.2,0.98,0.48,0.12,0.03,6.57,0.6,1.1,6.6,0.184,0.2,0.04,0.06,28.0,6.2,USGS-04193500
1997-03-26,6.6,6.4,0.54,0.34,0.06,0.03,5.97,0.4,0.6,6.0,0.153,0.14,0.05,0.05,30.0,5.5,USGS-04193500
