Date,"00605 - Organic nitrogen, water, unfiltered, mg/l","00608 - Ammonia (NH3 + NH4+), water, filtered, mg/l as N","00613 - Nitrite, water, filtered, mg/l as N","00618 - Nitrate, water, filtered, mg/l as N","00631 - Nitrate plus nitrite, water, filtered, mg/l as N","00660 - Orthophosphate, water, filtered, mg/l asPO4","00665 - Phosphorus, water, unfiltered, mg/l as P","00671 - Orthophosphate, water, filtered, mg/l as P","00940 - Chloride, water, filtered, mg/l",MonitoringLocationIdentifier
2013-05-08,0.53,0.11,0.033,3.89,3.92,0.109,0.113,0.036000000000000004,30.4,USGS-410150083125701
2013-05-13,0.39,0.04,0.035,3.05,3.09,0.13699999999999998,0.122,0.045,33.0,USGS-410150083125701
2013-05-22,0.41,0.01,0.012,3.18,3.2,0.142,0.107,0.046,35.2,USGS-410150083125701
2013-05-29,,,0.016,2.02,2.03,0.14400000000000002,0.113,0.047,42.5,USGS-410150083125701
2013-06-10,0.06,0.01,0.042,10.1,10.2,0.25,0.175,0.08199999999999999,32.2,USGS-410150083125701
2013-06-18,0.98,0.05,0.159,13.5,13.7,0.353,0.258,0.115,23.7,USGS-410150083125701
2013-06-26,0.84,0.01,0.013999999999999999,4.79,4.8,0.1,0.133,0.033,33.4,USGS-410150083125701
2013-07-10,0.71,0.04,0.039,3.58,3.62,0.385,0.523,0.126,5.48,USGS-410150083125701
2013-07-17,0.74,0.05,0.027999999999999997,2.03,2.06,0.332,0.20800000000000002,0.10800000000000001,14.9,USGS-410150083125701
2013-07-24,1.0,0.03,0.019,1.97,1.99,0.425,0.6509999999999999,0.139,18.8,USGS-410150083125701
2013-07-30,0.9,0.03,0.013999999999999999,1.82,1.83,0.46299999999999997,0.35,0.151,11.5,USGS-410150083125701
2013-08-05,,,0.006999999999999999,1.7,1.71,0.289,0.259,0.094,17.1,USGS-410150083125701
