,basin,country,STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS,count,mean,std,min,25%,50%,75%,max
0,SCR,US,"St. Clair River At Port Huron, MI",04159130,42.98697429999999,-82.42463690000001,576014.0,2765.0,5090.5,624.9,2452.8,4760.0,5096.0,5488.0,6720.0
2,SCR,US,"Black River Near Jeddo, MI",04159492,43.150859999999994,-82.6246474,1202.0,5479.0,8.6,18.7,0.2,1.1,2.6,7.7,278.9
3,SCR,US,"Mill Creek Near Avoca, MI",04159900,43.054471299999996,-82.734649,438.0,5479.0,3.0,5.5,0.1,0.4,1.0,3.0,95.2
4,SCR,US,"Belle River At Memphis, MI",04160600,42.900862200000006,-82.76909140000001,391.0,5479.0,3.1,5.4,0.2,0.6,1.2,3.0,72.2
5,SCR,CA,"St. Clair River At Port Huron, ON",02GG014,42.9869385,-82.4247208,576013.0,1507.0,4971.9,431.7,2890.0,4790.0,5010.0,5240.0,6340.0
6,SCR,CA,"Bear Creek Below Brigden, ON",02GG009,42.812030799999995,-82.2984238,536.0,5479.0,5.8,12.4,0.0,0.4,1.4,5.2,206.0
7,SCR,CA,"Bear Creek Near Petrolia, ON",02GG006,42.9058304,-82.11911009999999,249.0,5479.0,2.9,7.6,0.0,0.2,0.6,2.0,140.0
8,SCR,CA,"Black Creek Near Bradshaw, ON",02GG013,42.76243970000001,-82.25921629999999,213.0,4262.0,2.6,6.6,0.0,0.1,0.3,1.5,109.0
9,SCL,US,"Clinton River At Moravian Drive At Mt. Clemens, MI",04165500,42.5958674,-82.90881,1901.0,5479.0,19.4,21.2,1.6,7.7,12.6,23.5,350.0
10,SCL,US,"North Branch Clinton River Near Mt. Clemens, MI",04164500,42.6292001,-82.88881040000001,515.0,5479.0,4.6,8.3,0.0,0.7,1.7,4.6,173.6
11,SCL,CA,"Thames River At Thamesville, ON",02GE003,42.544860799999995,-81.9672699,4370.0,5479.0,59.0,80.5,5.9,15.8,28.9,65.5,893.0
12,SCL,CA,"Thames River Near Dutton, ON",02GE006,42.73069,-81.5774689,3820.0,4658.0,53.2,70.8,5.9,15.2,26.2,60.0,766.0
13,SCL,CA,"Thames River At Byron, ON",02GE002,42.9625015,-81.33177950000001,3080.0,5479.0,44.7,67.0,4.4,12.4,21.3,48.2,856.0
14,SCL,CA,"Sydenham River At Florence, ON",02GG003,42.6506119,-82.0083923,1150.0,5479.0,12.7,21.4,0.2,1.8,4.7,12.4,227.0
15,SCL,CA,"Sydenham River Near Alvinston, ON",02GG002,42.8308105,-81.85172270000001,701.0,5479.0,7.9,13.6,0.5,1.5,3.0,7.5,174.0
16,SCL,CA,"Mcgregor Creek Near Chatham, ON",02GE007,42.3834991,-82.0950623,204.0,3945.0,2.2,5.8,0.0,0.1,0.4,1.4,81.5
17,SCL,CA,"Sydenham River At Strathroy, ON",02GG005,42.958858500000005,-81.62713620000001,171.0,5479.0,2.1,3.7,0.1,0.6,0.9,2.0,52.4
18,SCL,CA,"Ruscom River Near Ruscom Station, ON",02GH002,42.211498299999995,-82.6291428,125.0,5479.0,1.1,3.1,0.0,0.1,0.2,0.6,46.4
19,DR,US,"Detroit River At Fort Wayne At Detroit, MI",04165710,42.2980939,-83.0926997,592590.0,1299.0,5833.3,1016.9,3024.0,5124.0,6216.0,6636.0,7588.0
20,DR,US,"River Rouge At Detroit, MI",04166500,42.373092299999996,-83.25465129999999,484.0,5479.0,4.5,6.1,0.5,1.5,2.6,4.8,142.5
21,DR,US,"Middle River Rouge Near Garden City, MI",04167000,42.3480926,-83.3115973,259.0,5479.0,3.0,3.6,0.4,1.1,1.8,3.3,72.5
22,DR,US,"Lower River Rouge At Dearborn, MI",04168400,42.308371,-83.2527063,236.0,2805.0,3.0,3.6,0.0,1.2,1.8,3.1,56.6
23,DR,US,"Ecorse River At Dearborn Heights, MI",04168580,42.2694826,-83.2896517,26.0,5479.0,0.2,0.5,0.0,0.0,0.1,0.2,10.1
24,DR,CA,"Canard River Near Lukerville, ON",02GH003,42.158969899999995,-83.0188904,159.0,5479.0,1.9,5.0,0.0,0.1,0.2,1.1,84.8
25,DR,CA,"Little River At Windsor, ON",02GH011,42.3098602,-82.9284973,55.0,5052.0,0.7,1.8,0.0,0.1,0.1,0.5,28.7
26,DR,CA,"Turkey Creek At Windsor, ON",02GH004,42.260501899999994,-83.0398331,30.0,3268.0,0.4,0.6,0.0,0.1,0.1,0.3,7.7
27,DR,CA,"Turkey Creek At South Windsor, ON",02GH016,42.26408,-83.03241729999999,15.0,277.0,0.4,1.4,0.0,0.1,0.1,0.2,19.7
28,WB,US,"Maumee River At Waterville, OH",04193500,41.500052600000004,-83.7127145,16395.0,5479.0,185.2,291.7,1.5,23.8,65.0,209.0,2634.8
29,WB,US,"River Raisin Near Monroe, MI",04176500,41.960600799999995,-83.5310462,2699.0,5479.0,24.0,31.4,1.4,5.8,11.8,28.3,358.4
30,WB,US,"Huron River At Ann Arbor, MI",04174500,42.2869824,-83.73382959999999,1888.0,5479.0,15.3,11.6,0.9,7.4,11.9,19.9,91.6
31,WB,US,"Portage River Near Elmore, OH",04195820,41.49116179999999,-83.2246454,1279.0,5479.0,16.4,35.9,0.1,1.2,3.9,12.9,366.8
32,WB,US,"Ottawa River At University Of Toledo, Toledo, OH",04177000,41.6596806,-83.61254720000001,388.0,5479.0,3.7,7.2,0.1,0.4,1.2,3.4,77.8
33,WB,US,"Lower River Rouge At Inkster, MI",04168000,42.300593299999996,-83.3002078,215.0,5022.0,3.0,3.8,0.0,1.2,1.7,3.1,58.5
