"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1980-01-01,7.07921159216934,47481,1,1,1980.00147996357,1561,1980,"A",1,1.95716254446674,NA,NA,-2.72969665589994,0.250984442744815,0.0691891799221226,42.3191385697577,0.753643489935037,2593.36292246252
"2",1980-01-02,5.83327035194753,47482,1,2,1980.00421220401,1561,1980,"A",2,1.76357779539408,NA,NA,-2.89456858013676,0.237588011557511,0.0571258054274675,28.791095080133,1.469636276912,4198.36901046746
"3",1980-01-03,4.8704975754125,47483,1,3,1980.00694444444,1561,1980,"A",3,1.58319610341795,NA,NA,-2.93658629795316,0.226657572443122,0.0545176872391776,22.9416419677402,2.2198392370077,5818.22737902057
"4",1980-01-04,3.82277425977144,47484,1,4,1980.00967668488,1561,1980,"A",4,1.34097640504293,NA,NA,-2.9752923685064,0.211899891948755,0.0522640716697605,17.2621798176969,2.0051973696267,5376.80820371575
"5",1980-01-05,3.2564373323979,47485,1,5,1980.01240892532,1561,1980,"A",5,1.18063375496775,NA,NA,-3.00559689072398,0.202401079706862,0.0506328656929274,14.2458699532669,1.66145482638205,4783.23821823682
"6",1980-01-06,3.11485310055451,47486,1,6,1980.01514116576,1561,1980,"A",6,1.13618199239691,NA,NA,-3.0613340219867,0.201551466255769,0.0485433178115535,13.0641382652993,1.18852764307215,3483.55213096871
"7",1980-01-07,3.0015857150798,47487,1,7,1980.01787340619,1561,1980,"A",7,1.09914072071656,4.42551856104757,NA,-3.10899617566792,0.200877799551263,0.046770904978535,12.1294264548896,0.821263448992908,2397.40267808994
"8",1980-01-08,2.91663517597377,47488,1,8,1980.02060564663,1561,1980,"A",8,1.07043061483413,3.83086478730535,NA,-3.14725975773845,0.200416084441212,0.0453590410850095,11.4303549407309,0.598530572160648,1529.83996719414
"9",1980-01-09,2.69010040502435,47489,1,9,1980.02333788707,1561,1980,"A",9,0.989578518205039,3.38184050917347,NA,-3.24971582478942,0.198390729984832,0.0416233515885094,9.67429396512461,0.486010028539554,1685.94602230198
"10",1980-01-10,2.69010040502435,47490,1,10,1980.0260701275,1561,1980,"A",10,0.989578518205039,3.07035519911802,NA,-3.25422565727334,0.198719704258556,0.0414710812283889,9.63890257616237,0.277857093253137,856.707384797584
"11",1980-01-11,2.83168463686774,47491,1,11,1980.02880236794,1561,1980,"A",11,1.04087181259259,2.92877096727463,NA,-3.19515596620038,0.200605936148521,0.043610222555862,10.669570319965,0.646064021935476,1851.50402095673
"12",1980-01-12,5.09703234636192,47492,1,12,1980.03153460838,1561,1980,"A",12,1.62865847749471,3.19171311212663,NA,-2.97910236512261,0.233967575644919,0.0523758305789874,23.0654565471171,0.560284663378863,1399.25717433341
"13",1980-01-13,8.49505391060321,47493,1,13,1980.03426684882,1561,1980,"A",13,2.1394841012607,3.96031322784788,NA,-2.67539445074302,0.269989549221776,0.0731696956802016,53.7045560143842,0.319954988711642,791.584179483577
"14",1980-01-14,8.43842021786585,47494,1,14,1980.03699908925,1561,1980,"A",14,2.1327951131099,4.73700387110303,NA,-2.68841580776149,0.270006458861288,0.0722347175380484,52.6648522381831,0.401390832971983,1384.14100893497
"15",1980-01-15,5.7483198128415,47495,1,15,1980.03973132969,1561,1980,"A",15,1.74890760564628,5.14153024779842,NA,-2.98713413531237,0.243275653955551,0.0520654086744305,25.8585367893338,0.207673400829748,619.860927634749
"16",1980-01-16,4.30416064803896,47496,1,16,1980.04246357013,1561,1980,"A",16,1.45958214745077,5.37211028251479,NA,-3.01157767318289,0.224917753422729,0.0505595577067141,18.8020620285259,0.200298567081951,529.104017105621
"17",1980-01-17,3.8794079525088,47497,1,17,1980.04519581056,1561,1980,"A",17,1.35568255243262,5.54201136072685,NA,-3.02186419117661,0.218581894666023,0.0499470656809692,16.7412997849448,0.526492171606351,1245.08907967714
"18",1980-01-18,4.89881442178118,47498,1,18,1980.047928051,1561,1980,"A",18,1.58899322110228,5.83731561571449,NA,-3.01383416700692,0.2343361630502,0.0505537477302445,21.3972562185992,0.422647970235867,1000.95686669519
"19",1980-01-19,6.56950835753315,47499,1,19,1980.05066029144,1561,1980,"A",19,1.88243899827081,6.04766933159609,NA,-2.91324905596291,0.254781395118039,0.0572176166598303,32.4770351769979,0.137706458029465,341.667392196285
"20",1980-01-20,6.17307250837166,47500,1,20,1980.05339253188,1561,1980,"A",20,1.82019668939359,5.71595770270587,NA,-2.96585824841269,0.250897962256056,0.0538395949541258,28.7155345080827,0.328910481506087,686.019405571886
"21",1980-01-21,5.06871549999325,47501,1,21,1980.05612477231,1561,1980,"A",21,1.62308743244525,5.23457131443836,NA,-3.0283747198905,0.238056296815487,0.0498320096844979,21.8232817819454,0.186957151106811,412.474374911894
"22",1980-01-22,3.76614056703409,47502,1,22,1980.05885701275,1561,1980,"A",22,1.32605075482625,4.95140285075158,NA,-3.04130918035112,0.218828489077969,0.0489492859010417,15.9278306134403,0.154120193972666,336.587977417415
"23",1980-01-23,3.11485310055451,47503,1,23,1980.06158925319,1561,1980,"A",23,1.13618199239691,4.78150177253952,NA,-3.11465355877358,0.208174918922178,0.0462471993418146,12.4461992674207,0.154642551802863,316.603120744854
"24",1980-01-24,2.83168463686774,47504,1,24,1980.06432149362,1561,1980,"A",24,1.04087181259259,4.63182701316222,NA,-3.24530431128707,0.204872692298903,0.0417795603209509,10.221684977888,0.140981446218609,306.936602206292
"25",1980-01-25,2.40693194133758,47505,1,25,1980.06705373406,1561,1980,"A",25,0.878352883094814,4.27584380167028,NA,-3.46500471455063,0.198864133349808,0.0342864348005572,7.13016994257066,0.123780938461916,234.820472758233
"26",1980-01-26,2.1237634776508,47506,1,26,1980.0697859745,1561,1980,"A",26,0.753189740140808,3.64073739025852,NA,-3.63308342927606,0.194041269968505,0.0285516292846731,5.23902880819127,0.0951854896541587,129.619076991971
"27",1980-01-27,1.84059501396403,47507,1,27,1980.07251821494,1561,1980,"A",27,0.610088896500135,3.02181203391457,NA,-3.80980217457939,0.18913176274552,0.0225595346278643,3.5875843447734,0.0738064176047794,82.9615649705491
"28",1980-01-28,1.69901078212064,47508,1,28,1980.07525045537,1561,1980,"A",28,0.530046188826598,2.54042564564705,NA,-3.82690236595096,0.190533374234066,0.0222299211092502,3.26323085618656,0.0550049489130426,40.7419177563758
"29",1980-01-29,1.55742655027725,47509,1,29,1980.07798269581,1561,1980,"A",29,0.443034811836969,2.22489507182465,NA,-3.85038154396328,0.192048983117751,0.0217808704712044,2.9308699549443,0.0589120343696866,54.6473742001627
