"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1980-01-01,2.69010040502435,47481,1,1,1980.00147996357,1561,1980,"A",1,0.989578518205039,NA,NA,-0.186745306116667,0.176630574021939,0.842941551894273,195.920416238052,5.30747287966297,10012.1701721934
"2",1980-01-02,2.49188248044361,47482,1,2,1980.00421220401,1561,1980,"A",2,0.913038441082704,NA,NA,-0.195587814323195,0.173420334535793,0.835275393646929,179.83366154851,5.06789685652775,12786.5941332236
"3",1980-01-03,2.35029824860022,47483,1,3,1980.00694444444,1561,1980,"A",3,0.854542234401096,NA,NA,-0.203646951958033,0.170882405947598,0.828402649178732,168.220220731248,1.24345507370026,565.871448143477
"4",1980-01-04,2.1237634776508,47484,1,4,1980.00967668488,1561,1980,"A",4,0.753189740140808,NA,NA,-0.205164272868374,0.166542492461075,0.828143474403254,151.95866675263,5.36138785860088,12041.5151283902
"5",1980-01-05,1.89722870670138,47485,1,5,1980.01240892532,1561,1980,"A",5,0.640394245995464,NA,NA,-0.1143965276931,0.162974628558834,0.919434080316095,150.714149566632,6.50749522273221,15949.252727866
"6",1980-01-06,1.86891186033271,47486,1,6,1980.01514116576,1561,1980,"A",6,0.625356368630923,NA,NA,-0.105416626156412,0.162333578442084,0.929112668589416,150.027524862808,7.95355029873005,18860.6650968358
"7",1980-01-07,1.755644474858,47487,1,7,1980.01787340619,1561,1980,"A",7,0.562836011649589,2.16826137908729,NA,-0.0546433342677851,0.160206757813662,0.980022679163345,148.657369124908,1.37335270978463,759.113872931748
"8",1980-01-08,1.64237708938329,47488,1,8,1980.02060564663,1561,1980,"A",8,0.496144637150917,2.01858661971,NA,0.00119974768691692,0.157906020337815,1.03563078028082,146.957437433665,6.97143295708853,14287.0916436266
"9",1980-01-09,1.58574339664593,47489,1,9,1980.02333788707,1561,1980,"A",9,0.461053317339647,1.88913817916747,NA,0.030225557714582,0.156563147880602,1.06456589718336,145.854288727456,5.42073682390527,14106.9926868419
"10",1980-01-10,1.64237708938329,47490,1,10,1980.0260701275,1561,1980,"A",10,0.496144637150917,1.78800658499363,NA,-0.00358213486602642,0.157449243579862,1.03174239817691,146.405670645122,3.67981007004951,6656.9205136773
"11",1980-01-11,4.72891334356912,47491,1,11,1980.02880236794,1561,1980,"A",11,1.55369543902125,2.16017085155339,NA,0.106575731233048,0.227914305269281,1.17973216623483,482.012742189221,2.05305835967006,1756.10422808189
"12",1980-01-12,6.85267682121992,47492,1,12,1980.03153460838,1561,1980,"A",12,1.92463935276118,2.86809201077032,NA,0.454412754763555,0.269358826929816,1.681487577689,995.5604979762,4.37128794956029,6949.23276865232
