"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",2010-03-09,5.04039865362457,1.61748517689658,1.45,1.45,1,1.45,58506,3,69,2010.1850456621,1923,2010,0.917868531006303,0.396884567334547,0.340244429452428,0.257496539799787,1.45266044287862
"2",2010-03-24,2.86000148323641,1.05082214344576,1.6,1.6,1,1.6,58521,3,84,2010.22614155251,1923,2010,0.98878496442993,0.149346222306769,0.496851702819909,0.175563921568273,1.66906409653611
"3",2010-04-07,6.05980512289695,1.80167764162635,0.92,0.92,1,0.92,58535,4,98,2010.26449771689,1924,2010,0.995854006229388,-0.0909659182159925,0.397784008423588,0.248171004749694,1.53507376033904
"4",2010-05-05,4.5023785726197,1.50460582882473,1.35,1.35,1,1.35,58563,5,126,2010.34121004566,1925,2010,0.840229702224847,-0.542230622059604,0.323845332246922,0.228815049244823,1.4191008908673
"5",2010-05-21,3.2564373323979,1.18063375496775,1.39,1.39,1,1.39,58579,5,142,2010.3850456621,1925,2010,0.66109662866414,-0.750300771403647,0.392861345710171,0.181916050932977,1.50592611914802
"6",2010-06-07,41.9089326256425,3.73549899336266,0.9,0.9,1,0.9,58596,6,159,2010.43162100457,1926,2010,0.416541638090326,-0.909116639236698,-0.0456521843337725,0.300453352345541,0.999484057278309
"7",2010-08-11,0.917465822345146,-0.0861399505972187,3.4,3.4,1,3.4,58661,8,224,2010.60970319635,1928,2010,-0.635985973338904,-0.77170061663586,0.842734842011457,0.128053307724476,2.34183232265659
"8",2010-08-23,0.877822237428998,-0.130311168910356,1.92,1.92,1,1.92,58673,8,236,2010.64257990868,1928,2010,-0.780744231426377,-0.624850738252293,1.0415446018736,0.125724112063995,2.85607378163867
"9",2010-09-13,1.29124819441169,0.255609343124838,2.5,2.5,1,2.5,58694,9,257,2010.70011415525,1929,2010,-0.951277916731674,-0.308334761482787,0.758054189646655,0.155722780551844,2.16015284731436
"10",2010-10-01,1.68202067429943,0.519995852973097,1.8,1.8,1,1.8,58712,10,275,2010.74942922374,1930,2011,-0.999993569258209,-0.00358628529656729,0.700662306250341,0.162918832582185,2.04200788114042
"11",2010-10-12,0.730574636311876,-0.313923881467931,3.1,3.1,1,3.1,58723,10,286,2010.77956621005,1930,2011,-0.982794324753772,0.184703316786075,1.08394720050564,0.150143634761692,2.98983665667386
"12",2010-11-08,0.773049905864892,-0.257411671204588,2.8,2.8,1,2.8,58750,11,313,2010.85353881279,1931,2011,-0.795748677350029,0.605626982965322,1.10115235030396,0.150497308841577,3.04188403037497
