"","Date","Q","LogQ","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY","yHat","SE","ConcHat"
"1",1998-07-01,2.29366455586287,0.830150781276936,42,42,1,42,54237,7,183,1998.49737442922,1783,1998,0.016496199463144,-0.999863928443902,4.03131522943256,0.225025004975275,57.7794603850766
"2",1998-07-13,1.16099070111577,0.149273693308806,41,41,1,41,54249,7,195,1998.53025114155,1783,1998,-0.188931099399324,-0.981990346021672,3.79862407330389,0.260697576874285,46.1827192818332
"3",1998-07-22,3.70950687429673,1.31089894980565,51,51,1,51,54258,7,204,1998.5549086758,1783,1998,-0.338197980653379,-0.941074984197315,4.05233398292835,0.233390072320385,59.1200100041255
"4",1998-07-29,0.764554851954289,-0.268461507391173,34,34,1,34,54265,7,211,1998.57408675799,1783,1998,-0.448870397185128,-0.893596870255746,3.68573018698937,0.27284028151323,41.3863491837569
"5",1998-08-06,48.7049757541251,3.885781196412,65,65,1,65,54273,8,219,1998.59600456621,1784,1998,-0.567292576326803,-0.8235163221482,3.69307445318293,0.0458976170240596,40.2104836446868
"6",1998-08-12,5.72000296647283,1.7439693240057,55,55,1,55,54279,8,225,1998.61244292237,1784,1998,-0.649175302712803,-0.760638827793941,3.99241837962223,0.226175168518615,55.589591642033
"7",1998-08-20,1.72732762848932,0.546575490777809,50,50,1,50,54287,8,233,1998.63436073059,1784,1998,-0.74744876876141,-0.664319454838599,3.84726603835611,0.255664836257878,48.4217112460866
"8",1998-08-27,1.69901078212064,0.530046188826598,56,56,1,56,54294,8,240,1998.65353881279,1784,1998,-0.821885353145029,-0.569652934939925,3.8162071959089,0.251115050028196,46.8868184799596
"9",1998-09-03,2.20871401675683,0.792410453294089,60,60,1,60,54301,9,247,1998.67271689498,1785,1998,-0.88440249992158,-0.466724991973281,3.86816528213756,0.242219400316624,49.2791170018321
"10",1998-09-08,3.56792264245335,1.27198353355598,63,63,1,63,54306,9,252,1998.68641552511,1785,1998,-0.921250516580692,-0.388969774789517,3.91252271785162,0.23237907808826,51.394066899009
"11",1998-09-16,1.72732762848932,0.546575490777809,45,45,1,45,54314,9,260,1998.70833333333,1785,1998,-0.965925826288711,-0.258819045103855,3.80251544715529,0.251353619998299,46.2520028690904
"12",1998-09-22,1.13267385474709,0.124581080718434,40,40,1,40,54320,9,266,1998.7247716895,1785,1998,-0.987462916490307,-0.157851159503047,3.64259603194162,0.259693389970407,39.5006196979132
"13",1998-10-08,16.1972361228834,2.7848406179843,43,43,1,43,54336,10,282,1998.76860730594,1786,1999,-0.993173438691115,0.116646991724884,3.93168613255232,0.0975379109101918,51.2360279039426
"14",2000-07-27,0.96277277653503,-0.037937848779341,71,71,1,71,54994,7,209,2000.5697859745,1807,2000,-0.424562130014519,-0.905398805917886,3.80670443399899,0.298015749492751,47.0453075347877
"15",2000-07-31,29.1663517597377,3.37301570782818,63,63,1,63,54998,7,213,2000.58071493625,1807,2000,-0.485685237294565,-0.874133771384061,4.34721467185019,0.0751820223508289,77.4816272174732
"16",2000-08-03,16.848523589363,2.82426303215013,76,76,1,76,55001,8,216,2000.58891165756,1808,2000,-0.530040580379893,-0.847972277347878,4.18018422900192,0.185272140803581,66.5096541345702
"17",2000-08-30,1.92554555307006,0.655209331780604,76,76,1,76,55028,8,243,2000.66268214936,1808,2000,-0.853237594032565,-0.521522394657717,3.97218757291119,0.270436403040971,55.0782828028745
"18",2000-09-13,22.993279251366,3.13520196676618,57,57,1,57,55042,9,257,2000.70093351548,1809,2000,-0.952852670072704,-0.3034333355703,3.94303754513763,0.118702163311874,51.9396593105815
"19",2000-11-29,2.32198140223154,0.842420873868751,33,33,1,33,55119,11,334,2000.91131602914,1811,2001,-0.528826931172086,0.848729684214659,4.06077954336951,0.322346074396774,61.1135151667624
"20",2001-04-02,3.82277425977144,1.34097640504293,81,81,1,81,55243,4,93,2001.25079908676,1816,2001,0.999987395759061,-0.00502078908250615,4.36905743138803,0.499731609018359,89.471780323496
"21",2001-06-11,5.60673558099812,1.72396865729903,99,99,1,99,55313,6,163,2001.44257990868,1818,2001,0.353005130555282,-0.935621385925764,4.53484596562358,0.420945266464125,101.844121553668
"22",2001-08-16,1.755644474858,0.562836011649589,37,37,1,37,55379,8,229,2001.62340182648,1820,2001,-0.699970752715491,-0.71417150975302,4.11909719364417,0.283901556712672,64.0329145240271
"23",2001-10-11,3.73782372066541,1.31850354919087,68,68,1,68,55435,10,285,2001.77682648402,1822,2002,-0.985828077144285,0.167758762257004,4.08271482980204,0.257054051671182,61.2983681912098
"24",2002-04-24,3.42633841060996,1.23149217220124,103,103,1,103,55630,4,115,2002.31107305936,1828,2002,0.927273391332302,-0.374384905848368,4.5389209023003,0.497883571244215,105.939155814262
"25",2002-06-18,2.10960505446646,0.746500751990012,77,77,1,77,55685,6,170,2002.46175799087,1830,2002,0.237976174811364,-0.971270992165498,4.41886908139277,0.418911586553687,90.6143455634735
"26",2002-08-29,0.656950835753315,-0.420146094723238,31,31,1,31,55757,8,242,2002.65901826484,1832,2002,-0.841006676579493,-0.541024740606856,4.01445503268505,0.282119488029749,57.6419577364675
"27",2002-11-12,3.99267533798351,1.38446151698267,67,67,1,67,55832,11,317,2002.86449771689,1835,2003,-0.75219438976793,0.658941272043004,4.04790787531385,0.317273743407632,60.2341332681344
"28",2003-04-14,3.2564373323979,1.18063375496775,112,112,1,112,55985,4,105,2003.28367579909,1840,2003,0.977697957257717,-0.210015962188798,4.48803276039676,0.528878282203111,102.297872809444
"29",2003-06-03,2.63063502765013,0.967225272424291,137,137,1,137,56035,6,155,2003.42066210046,1842,2003,0.478103992606339,-0.878303234796433,4.55852464699558,0.461390681341544,106.16190424998
"30",2003-08-20,0.940119299440088,-0.0617484974730595,41,41,1,41,56113,8,233,2003.63436073059,1844,2003,-0.747448768762395,-0.66431945483749,4.12789518835508,0.309795704291328,65.0972221341529
"31",2003-09-18,0.744733059496214,-0.294729434211783,90,90,1,90,56142,9,262,2003.71381278539,1845,2003,-0.974262388010055,-0.225416945478696,3.83731411281233,0.266168841243487,48.0737859947537
"32",2004-04-07,2.60798155055518,0.958576569865759,236,236,1,236,56344,4,98,2004.26650728597,1852,2004,0.994626073407146,-0.103532478472611,4.25890371105992,0.465683225880507,78.8331934223659
"33",2004-07-13,7.33406320948743,1.99252968830404,92,92,1,92,56441,7,195,2004.53153460838,1855,2004,-0.196843895665794,-0.980434842679061,4.67504213547,0.437341184619714,117.998957697225
"34",2004-09-08,4.41742803351367,1.48555763385403,109,109,1,109,56498,9,252,2004.6872723133,1857,2004,-0.923331121231262,-0.38400474029082,4.20361396379537,0.244607293998687,68.9602552613339
"35",2004-10-20,1.39885221061266,0.335652050798374,70,70,1,70,56540,10,294,2004.80202641166,1858,2005,-0.947045031573931,0.321100775724899,4.17559824583246,0.322510068482012,68.5528251380912
"36",2005-03-14,3.53960579608467,1.2640153639068,23,23,1,23,56685,3,74,2005.19874429224,1863,2005,0.948588844224338,0.316510986559922,4.77419352808708,0.467320978290351,132.077381784343
"37",2005-04-05,3.17148679329186,1.15420049789959,44,44,1,44,56707,4,96,2005.25901826484,1864,2005,0.998395057389661,-0.056633112044949,4.69220516269577,0.546827663001146,126.686484603148
"38",2005-04-27,12.0063428603192,2.48543508183646,258,258,1,258,56729,4,118,2005.31929223744,1864,2005,0.906711541298535,-0.421751325873477,5.06549519583385,0.512649645775219,180.711172645544
"39",2005-04-27,12.0063428603192,2.48543508183646,256,256,1,256,56729,4,118,2005.31929223744,1864,2005,0.906711541298535,-0.421751325873477,5.07003806572691,0.513641340659827,181.626390754059
"40",2005-05-25,2.52586269608602,0.926582666190461,184,184,1,184,56757,5,146,2005.39600456621,1865,2005,0.60790751758808,-0.794007840049391,4.68369972123926,0.508539658400105,123.101105459176
"41",2005-06-14,3.0015857150798,1.09914072071656,92,92,1,92,56777,6,166,2005.45079908676,1866,2005,0.304238045276565,-0.952596038101301,4.7436263713816,0.497835072770271,130.001534108646
"42",2005-07-11,1.25160460949554,0.22442641568815,91,91,1,91,56804,7,193,2005.5247716895,1867,2005,-0.155017448662358,-0.987911732195854,4.38638823220864,0.427690025424845,88.0449615877224
"43",2005-07-25,7.13584528490669,1.96513071411592,79,79,1,79,56818,7,207,2005.56312785388,1867,2005,-0.386325078130971,-0.922362691140041,4.68299540360091,0.424594980336334,118.28959967262
"44",2005-07-25,7.13584528490669,1.96513071411592,78,78,1,78,56818,7,207,2005.56312785388,1867,2005,-0.386325078130971,-0.922362691140041,4.68634540199899,0.423814945588996,118.64726789802
"45",2005-08-15,1.51211959608737,0.413512372570647,77,77,1,77,56839,8,228,2005.62066210046,1868,2005,-0.687573755941328,-0.726114543402578,4.26052474326053,0.33508785065051,74.9384175628178
"46",2005-09-01,0.954277722624427,-0.0468005360371863,64,64,1,64,56856,9,245,2005.66723744292,1869,2005,-0.867812977246407,-0.496890970458035,4.11038733385594,0.302769917729545,63.8299263484535
"47",2005-10-03,3.59623948882202,1.27988871306309,74,74,1,74,56888,10,277,2005.7549086758,1870,2006,-0.999524419528398,0.0308372302001791,4.34147915242502,0.263774239192025,79.5405995172034
"48",2005-11-08,0.753228113406818,-0.283387157607849,75,75,1,75,56924,11,313,2005.85353881279,1871,2006,-0.795748677349826,0.605626982965589,4.23927133718316,0.316912413647727,72.9291247831906
"49",2005-11-22,1.93404060698066,0.659611393181242,84,84,1,84,56938,11,327,2005.89189497717,1871,2006,-0.628204914668578,0.778047932447766,4.260767498774,0.407824849482003,77.0094431542814
"50",2010-03-24,2.86000148323641,1.05082214344576,249,249,1,249,58521,3,84,2010.22614155251,1923,2010,0.98878496442993,0.149346222306769,4.59469187159377,0.667651134965627,123.664331449606
"51",2010-04-07,6.05980512289695,1.80167764162635,246,246,1,246,58535,4,98,2010.26449771689,1924,2010,0.995854006229388,-0.0909659182159925,4.39785909032047,0.702384226291589,104.014560171603
"52",2010-05-05,4.5023785726197,1.50460582882473,146,146,1,146,58563,5,126,2010.34121004566,1925,2010,0.840229702224847,-0.542230622059604,4.82810491439214,0.690868319628215,158.658553670161
"53",2010-05-21,3.2564373323979,1.18063375496775,138,138,1,138,58579,5,142,2010.3850456621,1925,2010,0.66109662866414,-0.750300771403647,4.80613889717694,0.623225466210933,148.464205390144
"54",2010-06-07,41.9089326256425,3.73549899336266,65,65,1,65,58596,6,159,2010.43162100457,1926,2010,0.416541638090326,-0.909116639236698,9.39955867168482,0.258444331039093,12493.3953019657
"55",2010-07-19,1.47530769580809,0.388866575363819,80,80,1,80,58638,7,201,2010.54668949772,1927,2010,-0.289169123097447,-0.957278025574103,4.46463497958139,0.378591022739241,93.3448370329776
"56",2010-08-11,0.917465822345146,-0.0861399505972187,68,68,1,68,58661,8,224,2010.60970319635,1928,2010,-0.635985973338904,-0.77170061663586,4.31707045417139,0.266078395773373,77.6700177156358
"57",2010-08-23,0.877822237428998,-0.130311168910356,68,68,1,68,58673,8,236,2010.64257990868,1928,2010,-0.780744231426377,-0.624850738252293,4.26579480901777,0.249987639894912,73.4820911765723
"58",2010-09-13,1.29124819441169,0.255609343124838,64,64,1,64,58694,9,257,2010.70011415525,1929,2010,-0.951277916731674,-0.308334761482787,4.34352383946433,0.25071566543775,79.4361069138074
"59",2010-10-01,1.68202067429943,0.519995852973097,115,115,1,115,58712,10,275,2010.74942922374,1930,2011,-0.999993569258209,-0.00358628529656729,4.29438675244984,0.22960926348122,75.2448121247073
"60",2010-10-12,0.730574636311876,-0.313923881467931,105,105,1,105,58723,10,286,2010.77956621005,1930,2011,-0.982794324753772,0.184703316786075,4.1945281327782,0.182129036195012,67.4315915653216
"61",2010-11-08,0.773049905864892,-0.257411671204588,87,87,1,87,58750,11,313,2010.85353881279,1931,2011,-0.795748677350029,0.605626982965322,4.45897822741434,0.226145642542804,88.6369801075549
"62",2011-03-28,4.78554703630647,1.56560034152757,24,24,1,24,58890,3,88,2011.23710045662,1935,2011,0.996717228475334,0.0809615122169092,5.33493607002413,0.359790066912392,221.331265058298
