Date,"Flow, CFS"
2000-11-01,17.0
2000-11-02,16.0
2000-11-03,17.0
2000-11-04,16.0
2000-11-05,17.0
2000-11-06,19.0
2000-11-07,21.0
2000-11-08,20.0
2000-11-09,21.0
2000-11-10,55.0
2000-11-11,166.0
2000-11-12,121.0
2000-11-13,81.0
2000-11-14,14.0
2000-11-20,31.861
2000-11-21,31.110000000000003
2000-11-22,37.118
2000-11-27,32.612
2000-11-28,37.118
2000-11-29,60.0
2000-11-30,57.862
2000-12-01,94.48
2000-12-02,107.44
2000-12-03,104.2
2000-12-04,102.58
2000-12-05,65.6
2000-12-06,76.8
2000-12-07,76.8
2000-12-08,97.72
2000-12-09,57.862
2000-12-10,65.6
2000-12-11,72.27999999999999
2000-12-12,582.8966666666666
2000-12-13,663.34
2000-12-14,341.77
2000-12-15,795.48
2000-12-16,298.115
2000-12-19,497.46
2000-12-20,323.99
2000-12-21,444.0
2000-12-22,845.16
2000-12-23,427.44
2000-12-24,503.4
2000-12-25,1234.6
2000-12-26,535.4
2000-12-27,388.8
2000-12-28,328.66
2000-12-29,314.65
2000-12-30,278.52
2000-12-31,244.83
2001-01-01,229.35
2001-01-02,205.07
2001-01-03,185.35
2001-01-04,160.7
2001-01-05,152.64
2001-01-06,156.67
2001-01-07,156.67
2001-01-08,158.685
2001-01-09,152.64
2001-01-10,136.52
2001-01-11,120.4
2001-01-12,113.92
2001-01-13,117.16
2001-01-14,120.4
2001-01-15,180.87
2001-01-16,473.7
2001-01-17,812.04
2001-01-18,924.54
2001-01-19,672.55
2001-01-20,541.8
2001-01-21,473.7
2001-01-22,424.68
2001-01-23,368.48
2001-01-24,338.0
2001-01-25,323.99
2001-01-26,287.04
2001-01-27,274.26
2001-01-28,233.22
2001-01-29,246.765
2001-01-30,684.27
2001-01-31,9131.866666666667
2001-02-01,12436.699999999999
2001-02-02,8093.75
2001-02-03,4909.0
2001-02-04,6181.7
2001-02-05,4866.4
2001-02-06,3015.4
2001-02-07,2040.0
2001-02-08,1047.4
2001-02-09,911.1433333333334
2001-02-10,1916.3999999999999
2001-02-11,863.6533333333333
2001-02-12,360.005
2001-02-13,229.35
2001-02-14,321.225
2001-02-15,1432.47
2001-02-16,842.4666666666667
2001-02-17,325.77
2001-02-18,91.24
2001-02-19,80.03999999999999
2001-02-20,42.896
2001-02-21,2.118
2001-02-22,4.33
2001-02-23,1.826
2001-02-24,1.165
2001-02-25,55.724
2001-02-26,0.093
2001-02-27,0.086
2001-02-28,0.2
2001-03-01,1.743
2001-03-02,2.605
2001-03-03,0.171
2001-03-04,0.6
2001-03-05,0.157
2001-03-06,0.029
2001-03-08,0.051
2001-03-10,0.034
2001-03-12,2.021
2001-03-13,2.605
2001-03-14,1.1520000000000001
2001-03-15,87.40566666666668
2001-03-16,221.61
2001-03-17,405.36
2001-03-18,416.4
2001-03-19,405.36
2001-03-20,257.22
2001-03-21,200.14
2001-03-22,156.67
2001-03-23,128.46
2001-03-24,110.68
2001-03-25,91.24
2001-03-26,85.2
2001-03-30,85.2
2001-03-31,19.56
2001-04-01,4.33
2001-04-02,3.7565
2001-04-03,60.0
2001-04-04,60.0
2001-04-05,49.31
2001-04-06,2743.0
2001-04-07,2469.433333333334
2001-04-08,979.1233333333333
2001-04-09,451.40999999999997
2001-04-10,282.78
2001-04-11,244.83
2001-04-12,278.52
2001-04-13,295.97
2001-04-14,190.28
2001-04-15,140.55
2001-04-16,523.29
2001-04-17,457.67333333333335
2001-04-18,252.96
2001-04-19,195.21
2001-04-20,175.49
2001-04-21,373.56
2001-04-22,314.65
2001-04-23,282.78
2001-04-24,210.0
2001-04-25,152.64
2001-04-26,113.92
2001-04-27,100.96
2001-04-28,85.2
2001-04-29,71.2
2001-04-30,67.0
2001-05-01,55.724
2001-05-02,55.724
2001-05-03,51.448
2001-05-04,47.172
2001-05-05,40.758
2001-05-06,35.616
2001-05-07,34.864999999999995
2001-05-08,42.896
2001-05-09,42.896
2001-05-10,40.758
2001-05-11,35.616
2001-05-12,38.62
2001-05-13,62.8
2001-05-14,78.19999999999999
2001-05-15,62.8
2001-05-16,51.448
2001-05-17,119.37333333333333
2001-05-18,97.72
2001-05-19,68.4
2001-05-20,62.8
2001-05-21,67.331
2001-05-22,49.31
2001-05-23,45.034
2001-05-24,120.4
2001-05-25,94.48
2001-05-26,79.6
2001-05-27,107.44
2001-05-28,110.68
2001-05-29,99.34
2001-05-30,76.8
2001-05-31,49.31
2001-06-01,40.758
2001-06-02,53.586
2001-06-03,223.54500000000002
2001-06-04,205.945
2001-06-05,107.44
2001-06-06,74.0
2001-06-07,261.48
2001-06-08,221.61
2001-06-09,132.49
2001-06-10,82.4
2001-06-11,76.8
2001-06-12,76.8
2001-06-13,60.0
2001-06-14,28.106
2001-06-15,25.102
2001-06-16,26.604
2001-06-17,22.59
2001-06-18,25.102
2001-06-19,21.58
2001-06-20,25.102
2001-06-21,16.53
2001-06-22,67.419
2001-06-23,221.95499999999998
2001-06-24,110.68
2001-06-25,63.462
2001-06-26,38.62
2001-06-27,28.106
2001-07-01,58.053
2001-07-02,54.986
2001-07-03,34.114
2001-07-04,51.448
2001-07-05,23.6
2001-07-06,15.52
2001-07-07,12.4
2001-07-08,11.3
2001-07-09,9.925
2001-07-10,8.55
2001-07-11,8.55
2001-07-12,6.25
2001-07-13,5.2
2001-07-14,5.2
2001-07-15,4.5
2001-07-16,4.33
2001-07-17,3.65
2001-07-18,3.48
2001-07-19,3.65
2001-07-20,3.31
2001-07-21,2.97
2001-07-22,2.7515
2001-07-23,2.8
2001-07-24,2.97
2001-07-25,3.14
2001-07-26,21.58
2001-07-27,10.75
2001-07-28,6.25
2001-07-29,4.5
2001-07-30,4.245
2001-07-31,3.99
2001-08-01,3.31
2001-08-02,3.14
2001-08-03,6.95
2001-08-04,113.92
2001-08-05,31.11
2001-08-06,16.025
2001-08-07,9.65
2001-08-08,5.55
2001-08-09,3.82
2001-08-10,5.9
2001-08-11,4.16
2001-08-12,5.2
2001-08-13,6.25
2001-08-14,5.2
2001-08-15,3.99
2001-08-16,3.48
2001-08-17,3.65
2001-08-18,3.48
2001-08-19,4.85
2001-08-20,3.82
2001-08-21,3.48
2001-08-22,3.14
2001-08-23,3.48
2001-08-24,3.82
2001-08-25,3.99
2001-08-26,4.16
2001-08-27,4.16
2001-08-28,3.82
2001-08-29,3.14
2001-08-30,3.14
2001-08-31,3.14
2001-09-01,2.8
2001-09-02,3.14
2001-09-03,3.14
2001-09-04,2.97
2001-09-05,2.508
2001-09-06,2.118
2001-09-07,2.118
2001-09-08,2.021
2001-09-09,2.021
2001-09-10,2.41
2001-09-11,2.6055
2001-09-12,2.605
2001-09-13,2.41
2001-09-14,4.16
2001-09-15,4.16
2001-09-16,2.97
2001-09-17,3.055
2001-09-18,3.14
2001-09-19,2.41
2001-09-20,3.48
2001-09-21,3.65
2001-09-22,3.65
2001-09-23,10.75
2001-09-24,7.125
2001-09-25,63.385999999999996
2001-09-26,29.055
2001-09-27,16.0
2001-09-28,11.85
2001-09-29,8.55
2001-09-30,7.3
2001-10-01,6.075
2001-10-02,5.2
2001-10-03,4.33
2001-10-04,4.16
2001-10-05,4.5
2001-10-06,175.49
2001-10-07,77.857
2001-10-08,25.853
2001-10-09,15.52
2001-10-10,11.85
2001-10-11,10.2
2001-10-12,10.75
2001-10-13,11.3
2001-10-14,38.655
2001-10-15,102.58
2001-10-16,67.0
2001-10-17,200.14
2001-10-18,74.0
2001-10-19,45.034
2001-10-20,37.118
2001-10-21,34.114000000000004
2001-10-22,110.94533333333334
2001-10-23,151.525
2001-10-24,180.42
2001-10-25,237.28500000000003
2001-10-26,227.41500000000002
2001-10-27,144.58
2001-10-28,82.4
2001-10-29,64.2
2001-10-30,45.034
2001-10-31,31.11
2001-11-01,25.102
2001-11-02,23.6
2001-11-03,74.0
2001-11-04,45.034
2001-11-05,34.114000000000004
2001-11-06,28.106
2001-11-07,20.57
2001-11-08,20.57
2001-11-09,17.54
2001-11-10,19.56
2001-11-11,18.55
2001-11-12,17.54
2001-11-13,14.004999999999999
2001-11-14,12.95
2001-11-15,13.5
2001-11-16,12.95
2001-11-17,11.85
2001-11-18,12.4
2001-11-19,14.235
2001-11-20,17.54
2001-11-21,16.53
2001-11-22,15.52
2001-11-23,17.54
2001-11-24,18.55
2001-11-25,25.102
2001-11-26,23.095
2001-11-27,25.102
2001-11-28,28.106
2001-11-29,223.985
2001-11-30,640.5966666666667
2001-12-01,853.64
2001-12-02,415.9433333333333
2001-12-03,229.38666666666668
2001-12-04,166.07999999999998
2001-12-05,117.16
2001-12-06,88.0
2001-12-07,74.0
2001-12-08,62.8
2001-12-09,50.379000000000005
2001-12-10,42.896
2001-12-11,42.896
2001-12-12,35.616
2001-12-13,35.616
2001-12-14,152.808
2001-12-15,699.1833333333334
2001-12-16,445.5333333333333
2001-12-17,736.82
2001-12-18,2212.733333333333
2001-12-19,1206.1333333333332
2001-12-20,486.94
2001-12-21,274.26
2001-12-22,195.21
2001-12-23,140.55
2001-12-24,110.68
2001-12-25,120.4
2001-12-26,110.68
2001-12-27,120.4
2001-12-28,120.4
2001-12-29,97.72
2001-12-30,79.6
2001-12-31,124.43
2002-01-01,82.4
2002-01-02,74.0
2002-01-03,71.2
2002-01-04,74.0
2002-01-05,88.0
2002-01-06,76.8
2002-01-07,97.72
2002-01-08,88.0
2002-01-09,94.48
2002-01-10,107.44
2002-01-11,124.43
2002-01-12,140.55
2002-01-13,156.67
2002-01-14,185.35
2002-01-15,156.67
2002-01-16,152.64
2002-01-17,128.46
2002-01-18,110.68
2002-01-19,94.48
2002-01-20,68.4
2002-01-21,87.47999999999999
2002-01-22,71.2
2002-01-23,57.862
2002-01-24,55.724
2002-01-25,79.6
2002-01-26,62.8
2002-01-27,68.4
2002-01-28,49.31
2002-01-29,38.62
2002-01-30,341.65500000000003
2002-01-31,394.87999999999994
2002-02-01,1015.0799999999999
2002-02-02,4041.4
2002-02-03,2371.1666666666665
2002-02-04,812.18
2002-02-05,394.32
2002-02-06,261.48
2002-02-07,229.35
2002-02-08,170.56
2002-02-09,128.46
2002-02-10,128.46
2002-02-11,117.16
2002-02-12,124.43
2002-02-13,136.52
2002-02-14,240.96
2002-02-15,229.35
2002-02-16,165.63
2002-02-17,156.67
2002-02-18,136.52
2002-02-19,120.4
2002-02-20,104.2
2002-02-21,107.44
2002-02-22,113.92
2002-02-23,152.64
2002-02-24,136.52
2002-02-25,124.43
2002-02-26,115.54
2002-02-27,113.92
2002-02-28,144.58
2002-03-01,148.61
2002-03-02,128.46
2002-03-03,140.55
2002-03-04,450.9166666666667
2002-03-05,550.0533333333333
2002-03-06,242.13
2002-03-07,205.07
2002-03-08,165.63
2002-03-09,144.58
2002-03-10,132.49
2002-03-11,148.61
2002-03-12,248.7
2002-03-13,160.7
2002-03-14,144.58
2002-03-15,124.43
2002-03-16,110.68
2002-03-17,110.68
2002-03-18,162.95
2002-03-19,190.28
2002-03-20,140.55
2002-03-21,132.49
2002-03-22,160.7
2002-03-23,210.0
2002-03-24,152.64
2002-03-25,140.55
2002-03-26,144.57999999999998
2002-03-27,185.35
2002-03-28,369.135
2002-03-29,831.2166666666667
2002-03-30,2525.7000000000003
2002-03-31,4311.500000000001
2002-04-01,1664.9
2002-04-02,633.8666666666667
2002-04-03,495.7866666666667
2002-04-04,1958.4666666666665
2002-04-05,2021.05
2002-04-06,601.65
2002-04-07,405.36
2002-04-08,345.825
2002-04-09,291.43666666666667
2002-04-10,563.52
2002-04-11,561.0
2002-04-12,383.72
2002-04-13,300.845
2002-04-14,531.7666666666667
2002-04-15,2280.133333333333
2002-04-16,1812.4000000000003
2002-04-17,587.95
2002-04-18,368.48
