Date,Units,Result Value
2012-09-24,mg P/L        ,0.008
2006-09-14,mg/L,0.01
2012-09-11,mg P/L        ,0.016
2007-09-10,mg/L,0.013
2009-08-05,mg/L,0.015
2012-08-30,mg P/L        ,0.018
2007-08-28,mg/L,0.005
2013-08-20,mg/L,0.013904
2007-08-15,mg/L,0.012
2010-08-11,mg/L,0.009
2011-08-01,mg/L,0.011
2008-07-31,mg/L,0.003
2012-07-25,mg P/L        ,0.03
2007-07-25,mg/L,0.003
2010-07-19,mg/L,0.013
2006-07-13,mg/L,0.017
2013-06-03,mg/L,0.125971
2007-06-28,mg/L,0.002
2011-06-20,mg/L,0.009
2012-06-19,mg P/L        ,0.013
2008-06-17,mg/L,0.004
2009-06-15,mg/L,0.007
2007-06-12,mg/L,0.004
2012-05-04,mg P/L        ,0.023
2012-05-23,mg P/L        ,0.005
2010-05-21,mg/L,0.03
2007-05-17,mg/L,0.044
2006-05-16,mg/L,0.005
2012-04-09,mg P/L        ,0.008
2007-04-03,mg/L,0.016
2007-04-24,mg/L,0.002
2008-04-18,mg/L,0.023
2009-04-14,mg/L,0.015
2013-04-01,mg/L,0.012422
2012-03-06,mg P/L        ,0.051
2011-03-29,mg/L,0.027
2012-03-27,mg P/L        ,0.015
2007-03-15,mg/L,0.057
2006-03-14,mg/L,
2007-11-08,mg/L,0.007
2009-10-06,mg/L,0.004
2013-10-29,mg/L,0.009159
2008-10-21,mg/L,0.006
2012-10-19,mg P/L        ,0.004
2011-10-18,mg/L,0.004
2010-10-12,mg/L,0.008
2007-10-11,mg/L,0.006
2012-10-10,mg P/L        ,0.007
