Date,Month,Inflow concentration of dissolved silica [mg m-3]
1984-04-06,4,5.4
1984-05-04,5,2.78
1984-06-01,6,3.0
1984-07-06,7,3.9
1984-08-10,8,7.4
1984-09-07,9,7.2
1984-10-05,10,6.1
1984-11-02,11,5.05
1984-12-07,12,6.35
1985-01-03,1,6.8
1985-02-07,2,8.1
1985-03-05,3,6.75
1985-04-04,4,4.75
1985-05-09,5,2.565
1985-06-06,6,3.8
1985-07-11,7,5.8
1985-08-08,8,9.15
1985-09-04,9,5.85
1985-10-10,10,5.75
1985-11-12,11,6.4
1985-12-05,12,7.35
1986-01-09,1,8.1
1986-02-11,2,7.4
1986-03-12,3,7.0
1986-04-14,4,3.9
1986-05-13,5,2.45
1986-06-30,6,5.4
1986-07-29,7,8.5
1986-08-28,8,8.4
1986-09-25,9,7.7
1990-08-08,8,6.0
2001-09-17,9,10.3
2001-09-18,9,6.11
2001-11-19,11,6.45
2002-01-23,1,6.205
2002-03-13,3,5.03
2002-05-02,5,3.75
2002-06-05,6,3.605
2002-07-08,7,3.98
2002-08-20,8,10.9
2002-08-28,8,5.74
2002-11-11,11,8.31
2002-12-10,12,6.13
2003-02-02,2,6.98
2003-04-22,4,5.72
2003-05-01,5,3.345
2003-06-12,6,4.6
2003-07-22,7,5.34
2003-08-05,8,6.285
2003-09-08,9,7.53
