Date,code,"Silica, mg/L"
2010-08-30,0,3.55
2010-08-31,0,1.1
2010-09-01,0,0.7
2010-09-02,0,3.59
2010-09-03,0,2.43
2010-09-04,0,3.57
2010-09-05,0,1.74
2010-09-06,0,1.96
2010-09-07,0,2.2199999999999998
2010-09-08,0,1.79
2010-09-09,0,2.0
2010-09-10,0,1.43
2010-09-11,0,4.03
2010-09-12,0,5.02
2010-09-13,0,2.766666666666667
2010-09-14,0,1.32
2010-09-15,0,0.66
2010-09-16,0,0.4
2010-09-17,0,2.59
2010-09-18,0,0.31
2010-09-19,0,1.31
2010-09-20,0,2.0533333333333332
2010-09-21,0,0.27
2010-09-22,0,0.57
2010-09-23,0,0.53
2010-09-24,0,4.42
2010-09-25,0,5.78
2010-09-26,0,5.55
2010-09-27,0,1.876666666666667
2010-09-28,0,4.09
2010-09-29,0,3.2
2010-09-30,0,1.49
2010-10-01,0,4.98
2010-10-02,0,2.21
2010-10-03,0,2.04
2010-10-04,0,3.0566666666666666
2010-10-05,0,4.96
2010-10-06,0,4.48
2010-10-07,0,2.95
2010-10-08,0,1.41
2010-10-09,0,1.32
2010-10-10,0,1.79
2010-10-11,0,2.8033333333333332
2010-10-12,0,1.8
2010-10-13,0,1.87
2010-10-14,0,1.23
2010-10-15,0,4.53
2010-10-16,0,0.84
2010-10-17,0,2.4
2010-10-18,0,2.6366666666666667
2010-10-19,0,1.71
2010-10-20,0,1.65
2010-10-21,0,2.51
2010-10-22,0,2.29
2010-10-23,0,2.13
2010-10-24,0,3.02
2010-10-25,0,1.71
2010-10-26,0,1.45
2010-10-27,0,1.94
2010-10-28,0,2.04
2010-10-29,0,3.16
2010-10-30,0,3.1
2010-10-31,0,4.12
2010-11-01,0,3.5566666666666666
2010-11-02,0,1.83
2010-11-03,0,3.51
2010-11-04,0,2.97
2010-11-05,0,4.2
2010-11-06,0,3.47
2010-11-07,0,3.56
2010-11-08,0,4.433333333333334
2010-11-09,0,2.56
2010-11-10,0,3.58
2010-11-11,0,3.25
2010-11-12,0,3.99
2010-11-13,0,4.71
2010-11-14,0,4.66
2010-11-15,0,4.233333333333333
2010-11-16,0,3.23
2010-11-17,0,5.2
2010-11-18,0,3.88
2010-11-19,0,3.62
2010-11-20,0,4.64
2010-11-21,0,4.31
2010-11-22,0,3.5033333333333334
2010-11-23,0,3.82
2010-11-24,0,3.84
2010-11-25,0,4.56
2010-11-26,0,3.785
2010-11-27,0,5.816666666666666
2010-11-28,0,6.805
2010-11-29,0,6.69
2010-11-30,0,6.11
2010-12-01,0,6.595000000000001
2010-12-02,0,6.786666666666666
2010-12-03,0,7.08
2010-12-04,0,6.94
2010-12-05,0,6.9
2010-12-06,0,6.6499999999999995
2010-12-07,0,6.07
2010-12-08,0,6.0
2010-12-09,0,6.07
2010-12-10,0,5.72
2010-12-11,0,5.24
2010-12-12,0,5.06
2010-12-13,0,5.396666666666667
2010-12-14,0,5.82
2010-12-15,0,6.9
2010-12-16,0,5.41
2010-12-17,0,5.13
2010-12-18,0,4.99
2010-12-19,0,4.86
2010-12-20,0,4.8
2010-12-21,0,4.33
2010-12-22,0,3.88
2010-12-23,0,3.7
2010-12-24,0,3.55
2010-12-25,0,3.21
2010-12-26,0,2.77
2010-12-27,0,2.84
2010-12-28,0,2.85
2010-12-29,0,2.73
2010-12-30,0,2.58
2010-12-31,0,3.86
2011-01-01,0,3.82
2011-01-02,0,5.2
2011-01-03,0,6.669999999999999
2011-01-04,0,5.945
2011-01-05,0,6.13
2011-01-06,0,6.08
2011-01-07,0,5.49
2011-01-08,0,5.82
2011-01-09,0,5.52
