Date,code,"TP, mg/L as P"
1982-03-06,0,0.103
1982-03-09,0,0.095
1982-03-10,0,0.103
1982-03-11,0,0.091
1982-03-12,0,0.109
1982-03-13,0,0.278
1982-03-14,0,0.311
1982-03-15,0,0.35
1982-03-16,0,0.3395
1982-03-17,0,0.326
1982-03-18,0,0.2955
1982-03-19,0,0.263
1982-03-20,0,0.21100000000000002
1982-03-21,0,0.18
1982-03-22,0,0.1555
1982-03-23,0,0.1545
1982-03-24,0,0.14350000000000002
1982-03-25,0,0.1325
1982-03-26,0,0.1255
1982-03-27,0,0.118
1982-03-28,0,0.1175
1982-03-29,0,0.11649999999999999
1982-03-30,0,0.114
1982-03-31,0,0.393
1982-04-01,0,0.2345
1982-04-02,0,0.3345
1982-04-03,0,0.2995
1982-04-04,0,0.1865
1982-04-05,0,0.14350000000000002
1982-04-06,0,0.134
1982-04-07,0,0.129
1982-04-08,0,0.114
1982-04-09,0,0.1
1982-04-10,0,0.1
1982-04-11,0,0.103
1982-04-12,0,0.1
1982-04-13,0,0.109
1982-04-14,0,0.105
1982-04-15,0,0.109
1982-04-16,0,0.119
1982-04-17,0,0.117
1982-04-18,0,0.13
1982-04-19,0,0.129
1982-04-20,0,0.105
1982-04-21,0,0.099
1982-04-22,0,0.081
1982-04-23,0,0.084
1982-04-24,0,0.082
1982-04-25,0,0.083
1982-04-26,0,0.141
1982-04-27,0,0.083
1982-04-28,0,0.084
1982-04-29,0,0.079
1982-04-30,0,0.075
1982-05-01,0,0.077
1982-05-02,0,0.084
1982-05-03,0,0.101
1982-05-05,0,0.077
1982-05-06,0,0.084
1982-05-07,0,0.081
1982-05-08,0,0.107
1982-05-09,0,0.116
1982-05-10,0,0.098
1982-05-12,0,0.09
1982-05-13,0,0.094
1982-05-14,0,0.094
1982-05-15,0,0.102
1982-05-16,0,0.118
1982-05-17,0,0.126
1982-05-19,0,0.155
1982-05-20,0,0.148
1982-05-21,0,0.157
1982-05-22,0,0.169
1982-05-23,0,0.18
1982-05-24,0,0.193
1982-05-26,0,0.152
1982-05-27,0,0.147
1982-05-28,0,0.6155
1982-05-29,0,0.4916666666666667
1982-05-30,0,0.4
1982-05-31,0,0.281
1982-06-01,0,0.21100000000000002
1982-06-02,0,0.1815
1982-06-03,0,0.1825
1982-06-04,0,0.1655
1982-06-05,0,0.149
1982-06-06,0,0.146
1982-06-07,0,0.1445
1982-06-09,0,0.141
1982-06-10,0,0.135
1982-06-11,0,0.132
1982-06-13,0,0.156
1982-06-14,0,0.141
1982-06-15,0,0.141
1982-06-16,0,0.158
1982-06-17,0,0.215
1982-06-18,0,0.203
1982-06-19,0,0.19
1982-06-20,0,0.201
1982-06-21,0,0.2
1982-06-22,0,0.183
1982-06-23,0,0.178
1982-06-24,0,0.178
1982-06-25,0,0.175
1982-06-26,0,0.165
1982-06-27,0,0.175
1982-06-28,0,0.184
1982-06-30,0,0.221
1982-07-01,0,0.195
1982-07-02,0,0.179
1982-07-03,0,0.174
1982-07-04,0,0.195
1982-07-05,0,0.19
1982-07-06,0,0.206
1982-07-07,0,0.168
1982-07-09,0,0.171
1982-07-10,0,0.176
1982-07-11,0,0.178
1982-07-12,0,0.189
1982-07-14,0,0.174
1982-07-15,0,0.14
1982-07-16,0,0.177
1982-07-17,0,0.176
1982-07-18,0,0.15
1982-07-19,0,0.178
1982-07-21,0,0.209
1982-07-22,0,0.201
1982-07-23,0,0.224
1982-07-24,0,0.215
1982-07-25,0,0.189
1982-07-26,0,0.2
1982-07-28,0,0.213
1982-07-29,0,0.201
1982-07-30,0,0.225
1982-07-31,0,0.243
1982-08-01,0,0.21
1982-08-02,0,0.229
1982-08-03,0,0.195
1982-08-04,0,0.16
1982-08-05,0,0.169
1982-08-06,0,0.19
1982-08-07,0,0.177
1982-08-08,0,0.2
1982-08-10,0,0.21
1982-08-11,0,0.231
1982-08-12,0,0.214
1982-08-13,0,0.206
1982-08-14,0,0.216
1982-08-15,0,0.207
1982-08-17,0,0.14
1982-08-18,0,0.181
1982-08-19,0,0.181
1982-08-20,0,0.215
1982-08-21,0,0.197
1982-08-22,0,0.2
1982-08-24,0,0.193
1982-08-25,0,0.188
1982-08-26,0,0.189
1982-08-27,0,0.201
1982-08-28,0,0.205
1982-08-29,0,0.212
1982-08-31,0,1.142
1982-09-01,0,0.226
1982-09-02,0,0.209
1982-09-03,0,0.203
1982-09-04,0,0.184
1982-09-05,0,0.167
1982-09-07,0,0.206
1982-09-08,0,0.193
1982-09-09,0,0.148
1982-09-10,0,0.134
1982-09-11,0,0.14
1982-09-12,0,0.158
1982-09-14,0,0.147
1982-09-15,0,0.131
1982-09-16,0,0.175
1982-09-17,0,0.183
1982-09-18,0,0.217
1982-09-19,0,0.264
1982-09-21,0,0.322
1982-09-23,0,0.198
1982-09-24,0,0.213
1982-09-25,0,0.235
1982-09-26,0,0.232
1982-09-27,0,0.232
1982-09-28,0,0.244
1982-09-29,0,0.25
1982-09-30,0,0.225
1982-10-01,0,0.19
1982-10-02,0,0.215
1982-10-03,0,0.203
1982-10-04,0,0.165
1982-10-05,0,0.159
1982-10-06,0,0.147
1982-10-07,0,0.148
1982-10-08,0,0.124
1982-10-10,0,0.213
1982-10-11,0,0.222
1982-10-12,0,0.187
1982-10-13,0,0.195
1982-10-14,0,0.198
1982-10-15,0,0.186
1982-10-16,0,0.186
1982-10-17,0,0.199
1982-10-19,0,0.221
1982-10-20,0,0.213
1982-10-21,0,0.203
1982-10-23,0,0.2
1982-10-24,0,0.236
1982-10-25,0,0.1982
1982-10-27,0,0.1794
1982-10-28,0,0.1709
1982-10-29,0,0.1907
1982-10-30,0,0.1982
1982-10-31,0,0.2039
1982-11-01,0,0.216
1982-11-03,0,0.313
1982-11-04,0,0.305
1982-11-05,0,0.173
1982-11-06,0,0.162
1982-11-07,0,0.14
1982-11-10,0,0.133
1982-11-11,0,0.151
1982-11-12,0,0.142
1982-11-13,0,0.139
1982-11-14,0,0.161
1982-11-15,0,0.147
1982-11-17,0,0.138
1982-11-18,0,0.123
1982-11-19,0,0.118
1982-11-20,0,0.128
1982-11-21,0,0.259
1982-11-22,0,0.255
1982-11-24,0,0.215
1982-11-25,0,0.186
1982-11-26,0,0.172
1982-11-27,0,0.141
1982-11-28,0,0.129
1982-11-29,0,0.246
1982-12-01,0,0.198
1982-12-02,0,0.192
1982-12-03,0,0.189
1982-12-04,0,0.199
1982-12-05,0,0.304
1982-12-06,0,0.264
1982-12-08,0,0.2
1982-12-09,0,0.152
1982-12-10,0,0.124
1982-12-11,0,0.108
1982-12-12,0,0.103
1982-12-13,0,0.11
1982-12-15,0,0.102
1982-12-16,0,0.147
1982-12-17,0,0.174
1982-12-18,0,0.16
1982-12-19,0,0.145
1982-12-20,0,0.131
1982-12-22,0,0.092
1982-12-23,0,0.087
1982-12-24,0,0.139
1982-12-25,0,0.596
1982-12-26,0,0.385
1982-12-27,0,0.335
1982-12-29,0,0.337
1982-12-30,0,0.257
1982-12-31,0,0.194
1983-01-01,0,0.148
1983-01-02,0,0.115
1983-01-03,0,0.094
1983-01-05,0,0.082
1983-01-06,0,0.08
1983-01-07,0,0.088
1983-01-08,0,0.09
1983-01-09,0,0.1
1983-01-11,0,0.086
1983-01-12,0,0.082
1983-01-13,0,0.077
1983-01-14,0,0.073
1983-01-15,0,0.078
1983-01-16,0,0.078
1983-01-17,0,0.108
1983-01-19,0,0.082
1983-01-20,0,0.088
1983-01-21,0,0.08
1983-01-22,0,0.108
1983-01-23,0,0.101
1983-01-24,0,0.135
1983-01-25,0,0.128
1983-01-26,0,0.11
1983-01-27,0,0.207
1983-01-29,0,0.141
1983-01-30,0,0.115
1983-01-31,0,0.172
1983-02-01,0,0.178
1983-02-02,0,0.115
1983-02-03,0,0.254
1983-02-04,0,0.19
1983-02-05,0,0.197
1983-02-06,0,0.161
1983-02-07,0,0.091
1983-02-08,0,0.099
1983-02-09,0,0.09
1983-02-10,0,0.08
1983-02-12,0,0.089
1983-02-14,0,0.104
1983-02-15,0,0.124
1983-02-16,0,0.109
1983-02-17,0,0.11
1983-02-18,0,0.114
1983-02-19,0,0.122
1983-02-20,0,0.32
1983-02-21,0,0.155
1983-02-23,0,0.129
1983-02-24,0,0.161
1983-02-25,0,0.113
1983-02-26,0,0.095
1983-02-28,0,0.091
1983-03-01,0,0.093
1983-03-02,0,0.086
1983-03-04,0,0.091
1983-03-05,0,0.098
1983-03-06,0,0.108
1983-03-07,0,0.098
1983-03-08,0,0.097
1983-03-09,0,0.227
1983-03-10,0,0.316
1983-03-11,0,0.26
1983-03-12,0,0.263
1983-03-13,0,0.179
1983-03-14,0,0.131
1983-03-15,0,0.107
1983-03-16,0,0.098
1983-03-17,0,0.1
1983-03-18,0,0.108
1983-03-19,0,0.092
1983-03-20,0,0.077
1983-03-23,0,0.08
1983-03-24,0,0.073
1983-03-25,0,0.066
1983-03-27,0,0.08
1983-03-28,0,0.41
1983-03-29,0,0.221
1983-03-30,0,0.261
1983-03-31,0,0.253
1983-04-01,0,0.19
1983-04-02,0,0.202
1983-04-04,0,0.162
1983-04-05,0,0.197
1983-04-06,0,0.18
1983-04-07,0,0.217
1983-04-08,0,0.152
1983-04-09,0,0.143
1983-04-11,0,0.146
1983-04-12,0,0.178
1983-04-13,0,0.201
1983-04-14,0,0.411
1983-04-15,0,0.492
1983-04-16,0,0.457
1983-04-18,0,0.278
1983-04-19,0,0.232
1983-04-20,0,0.174
1983-04-21,0,0.141
1983-04-22,0,0.124
1983-04-24,0,0.116
1983-04-25,0,0.107
1983-04-26,0,0.101
1983-04-27,0,0.1
1983-04-28,0,0.091
1983-04-29,0,0.106
1983-04-30,0,0.124
1983-05-02,0,0.839
1983-05-03,0,0.841
1983-05-04,0,0.67
1983-05-06,0,0.41600000000000004
1983-05-07,0,0.22
1983-05-09,0,0.155
1983-05-10,0,0.145
1983-05-11,0,0.141
1983-05-12,0,0.136
1983-05-13,0,0.13
1983-05-14,0,0.125
1983-05-16,0,0.108
1983-05-17,0,0.102
1983-05-19,0,0.101
1983-05-20,0,0.118
1983-05-21,0,0.118
1983-05-22,0,0.125
1983-05-23,0,0.22
1983-05-24,0,0.207
1983-05-25,0,0.263
1983-05-26,0,0.166
1983-05-27,0,0.133
1983-05-28,0,0.107
1983-05-30,0,0.111
1983-05-31,0,0.112
1983-06-01,0,0.107
1983-06-02,0,0.107
1983-06-04,0,0.114
1983-06-05,0,0.119
1983-06-06,0,0.133
1983-06-07,0,0.129
1983-06-08,0,0.149
1983-06-09,0,0.13
1983-06-11,0,0.126
1983-06-12,0,0.133
1983-06-13,0,0.081
1983-06-14,0,0.086
1983-06-15,0,0.1
1983-06-16,0,0.096
1983-06-17,0,0.094
1983-06-18,0,0.108
1983-06-19,0,0.134
1983-06-20,0,0.143
1983-06-21,0,0.125
1983-06-22,0,0.119
1983-06-23,0,0.131
1983-06-24,0,0.121
1983-06-25,0,0.165
1983-06-27,0,0.905
1983-06-29,0,0.37
1983-06-30,0,0.35
1983-07-02,0,0.296
1983-07-03,0,0.241
1983-07-04,0,0.193
1983-07-05,0,0.181
1983-07-06,0,0.169
1983-07-07,0,0.13
1983-07-08,0,0.153
1983-07-09,0,0.133
1983-07-11,0,0.135
1983-07-12,0,0.125
1983-07-13,0,0.118
1983-07-14,0,0.125
1983-07-16,0,0.119
1983-07-17,0,0.139
1983-07-19,0,0.307
1983-07-20,0,0.241
1983-07-21,0,0.184
1983-07-22,0,0.164
1983-07-23,0,0.171
1983-07-24,0,0.171
1983-07-25,0,0.154
1983-07-26,0,0.147
1983-07-27,0,0.141
1983-07-28,0,0.166
1983-07-30,0,0.186
1983-07-31,0,0.206
1983-08-01,0,0.204
1983-08-02,0,0.214
1983-08-03,0,0.173
1983-08-04,0,0.164
1983-08-05,0,0.166
1983-08-06,0,0.189
1983-08-07,0,0.176
1983-08-08,0,0.181
1983-08-09,0,0.183
1983-08-10,0,0.177
1983-08-11,0,0.197
1983-08-12,0,0.21
1983-08-16,0,0.159
1983-08-17,0,0.238
1983-08-18,0,0.186
1983-08-19,0,0.162
1983-08-20,0,0.168
1983-08-21,0,0.198
1983-08-23,0,0.2
1983-08-24,0,0.178
1983-08-25,0,0.164
1983-08-26,0,0.174
1983-08-27,0,0.169
1983-08-28,0,0.161
1983-08-29,0,0.134
1983-08-30,0,0.159
1983-08-31,0,0.153
1983-09-01,0,0.163
