,Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1983-04-01,1983,4,1,20869289.41,5.9,138000.0,,,,,,,,11300.0,,,,,,8.5,,,,,,,,
1983-04-02,1983,4,2,22068111.43,5.8,122000.0,,,,,,,,11000.0,,,,,,8.4,,,,,,,,
1983-04-03,1983,4,3,51500415.25,6.2,220000.0,,,,,,,,10200.0,,,,,,8.2,,,,,,,,
1983-04-04,1983,4,4,61164388.65,6.6,538000.0,,,,,,,,10200.0,,,,,,8.0,,,,,,,,
1983-04-05,1983,4,5,49787812.36,6.7,435000.0,,,,,,,,10200.0,,,,,,7.9,,,,,,,,
1983-04-06,1983,4,6,36943290.75,6.6,320000.0,,,,,,,,10500.0,,,,,,7.9,,,,,,,,
1983-04-07,1983,4,7,35230687.87,7.0,240000.0,,,,,,,,10300.0,,,,,,7.8,,,,,,,,
1983-04-08,1983,4,8,42448085.73,7.0,215000.0,,,,,,,,10600.0,,,,,,7.8,,,,,,,,
1983-04-09,1983,4,9,38900551.18,6.7,225000.0,,,,,,,,10800.0,,,,,,7.9,,,,,,,,
1983-04-10,1983,4,10,43182058.39,7.0,215000.0,,,,,,,,10700.0,,,,,,7.7,,,,,,,,
1983-04-11,1983,4,11,47830551.93,6.9,280000.0,,,,,,,,10600.0,,,,,,7.6,,,,,,,,
1983-04-12,1983,4,12,45261647.61,7.1,255000.0,,,,,,,,10800.0,,,,,,7.6,,,,,,,,
1983-04-13,1983,4,13,39512195.07,7.8,250000.0,,,,,,,,10800.0,,,,,,7.4,,,,,,,,
1983-04-14,1983,4,14,53824662.02,8.7,270000.0,,,,,,,,10400.0,,,,,,7.4222222222222225,,,,,,,,
1983-04-15,1983,4,15,81470965.69,8.1,648000.0,,,,,,,,10400.0,,,,,,7.444444444444445,,,,,,,,
